NoAb	NoD@ NA
DNase-seq	DNS@ DNase-Seq
S2 cell line	Unc@ Unclassified
None|muscle FAC sorted from dissociated embryos	InP@ Input control
none|Schneider's Drosophila Line 2; S2 cells	InP@ Input control
Kc167 cells	Unc@ Unclassified
E16-24h	Unc@ Unclassified
whole embryos, 0-16 hours	Unc@ Unclassified
none|S2 cells	InP@ Input control
Pol II|Covance 8WG16 (MMS-126R)|Staged embryos	Pol@ RNA polymerase II
Pol II (8WG16, Covance)|muscle FAC sorted from dissociated embryos	Pol@ RNA polymerase II
E8-16h	Unc@ Unclassified
anti-RNA Pol II (CTD-pSer5), abcam ab5408|embryo	Pol@ RNA polymerase II
Pol II (CTD48H, Millipore)|muscle FAC sorted from dissociated embryos	Pol@ RNA polymerase II
E16-24	Unc@ Unclassified
E0-8	Unc@ Unclassified
none|S2 cell line	InP@ Input control
embryo	Unc@ Unclassified
none|embryo	InP@ Input control
WPP	Unc@ Unclassified
E0-8h	Unc@ Unclassified
Salivary Glands	Unc@ Unclassified
none|S2 cell culture	InP@ Input control
Drosophila Rpb1 antibody (Smith et al., Mol Cell. 2011 Dec 23;44(6):954-65)|S2 cell culture	Pol@ RpII215
TBP|rabbit poly-antibody against dTBP|Staged embryos	Oth@ Tbp
(rb) -H3K4me1 (39297;Active Motif)|Schneider's Drosophila Line 2; S2 cells	His@ H3K4me1
Anti Twist|Twist ChIP-Seq from 2-4 h wild type embryos	Oth@ twi
N/A|S2 cell line	InP@ Input control
S2 cells-DRSC (lot 181A1)	Unc@ Unclassified
CBP|Kc167	Oth@ CBP
ELAV|rat anti-ELAV-7E8A10|whole embryos	Oth@ elav
Abcam Anti-Histone H3 (di methyl K9) antibody mAbcam 1220|Salivary Glands	His@ H3K9me2
Adult Drosophila ovary	Unc@ Unclassified
none|Blastoderm embryos	InP@ Input control
dFOXO|female adult flies	Oth@ foxo
none|female adult flies	InP@ Input control
H3K4me3|Cell Signaling Technology 9751S|Staged embryos	His@ H3K4me3
(rb) -H3K27ac (4729; Abcam)|Schneider's Drosophila Line 2; S2 cells	His@ H3K27ac
CLAMP ChIP SL2 cells control RNAi	Oth@ Clamp
CLAMP ChIP SL2 cells MSL2 RNAi	Oth@ Clamp
CLAMP ChIP Kc cells control RNAi	Oth@ Clamp
PSC custom made rabbit polyclonal antibody that was affinity purified (described in Francis et al., 2009. PMID: 19303136)|S2 cell line	Oth@ Psc
BEAF-32B (Bushey et. al 2009)|ChIP against BEAF-32 Wing	Oth@ BEAF-32
H3K27me3 (ab6002, abcam)|muscle FAC sorted from dissociated embryos	His@ H3K27me3
H3|m--HA (Covance, MMS-101P)|whole larvae	His@ H3
H3K27me3|rb--H3K27me3 (Active Motif, 39155)|whole larvae	His@ H3K27me3
NONE|none|whole larvae	InP@ Input control
Su(z)12|rb--Su(z)12 full length (Jrg Mller)|whole larvae	Oth@ Su(z)12
dJarid2|rb--Jarid2 (Masamitsu Yamaguchi)|whole larvae	Oth@ Jarid2
Anti-FLAG M2|HSF IP	Oth@ Epitope tags
Adult male fatbody	Unc@ Unclassified
Adult female fatbody	Unc@ Unclassified
TFIIIC|Kc167	Oth@ TfIIIC
RNAPII|Kc167	Pol@ RNA polymerase II
Rad21|Kc167	Oth@ vtd
CP190|Kc167	Oth@ Cp190
Chromator|Kc167	Oth@ Chro
CapH2|Kc167	Oth@ Cap-H2
Hr78|Anti-GFP|ab290|Hr78-GFP	Oth@ Hr78
None|Input DNA	InP@ Input control
DREF Rabbit polyclonal|Kc167	Oth@ Dref
E8-16	Unc@ Unclassified
H3|S2 cells	His@ H3
GT  (Li et al. 2008)|Blastoderm embryos	Oth@ gt
Active Motif H2Av pAb #39715|ChIPed chromatin, Active Motif H2Av pAb #39715	His@ H2A.V
anti-Ice1 (CG13550, aa 1-192; Smith et al., Mol Cell. 2011 Dec 23;44(6):954-65)|S2 cell culture	Oth@ Ice1
Anti-RNA polymerase II CTD repeat YSPTSPS antibody 8WG16|Pol II ChIP	Pol@ RNA polymerase II
none|S3 cells	InP@ Input control
H3K27me3|Active Motif 39155|Staged embryos	His@ H3K27me3
(rb) -H3K27me3 (39155; Active Motif)|Schneider's Drosophila Line 2; S2 cells	His@ H3K27me3
(rb) -H3K4me3 (#528; Ali Shilatifard)|Schneider's Drosophila Line 2; S2 cells	His@ H3K4me3
anti-Yki|8-16hr embryo ChIP; Iso1 strain; Yki antibody	Oth@ yki
anti-Trl (antii-GAF)|8-16hr embryo ChIP; Iso1 strain; GAF antibody	Oth@ Trl
anti-BEAF32B|Kc cells	Oth@ BEAF-32
none|wing imaginal discs, wild type, input	InP@ Input control
white prepupae	Unc@ Unclassified
PSC|Kc genomic DNA	Oth@ Psc
AdultMale	Unc@ Unclassified
AdultFemale	Unc@ Unclassified
IgG|Kc167	InP@ Input control
H3K4me3|Kc167	His@ H3K4me3
H3K4me1|Kc167	His@ H3K4me1
Fs1h-L|Kc167	Oth@ fs(1)h
CTCF|Kc167	Oth@ CTCF
input_Pc_mixed	InP@ Input control
h|KW3-h-D1|KW3-h-D1|Kc167	Oth@ h
insv|KW1-insv|NA|Kc167	Oth@ insv
Su(H)|Su(H)d-300|sc-25761|Kc167	Oth@ Su(H)
None|Staged embryos	InP@ Input control
none (input)|Input	InP@ Input control
W3L	Unc@ Unclassified
Kc167	Unc@ Unclassified
S2_roX2	Oth@ roX2
anti-dCTCF|Kc cells	Oth@ CTCF
anti-Su(Hw)|Kc cells	Oth@ su(Hw)
anti-CP190|Kc cells	Oth@ Cp190
anti-ZLD|Embryos	Oth@ vfl
E0-12	Unc@ Unclassified
7T_W3L	Unc@ Unclassified
E0-4h	Unc@ Unclassified
E4-8	Unc@ Unclassified
Pupae	Unc@ Unclassified
anti-Green Fluorescent Protein, millipore ab3080|embryo	Oth@ GFP
Protein A purified control rabbit IgG|embryo	InP@ Input control
PC|D. Melanogaster_PC Phdel	Oth@ Pc
PHO|D. Melanogaster_PHO Phdel	Oth@ pho
none (input)|D. Melanogaster_Input Phdel	InP@ Input control
PC|D. Melanogaster_PC WT	Oth@ Pc
PHO|D. Melanogaster_PHO WT	Oth@ pho
none (input)|D. Melanogaster_Input WT	InP@ Input control
none (input)|D. Melanogaster_Input	InP@ Input control
H3K4me3, Millipore #07-473|D. Melanogaster_H3K4me3	His@ H3K4me3
PC|D. Melanogaster_PC	Oth@ Pc
PH|D. Melanogaster_PH	Oth@ ph-d
H3K27me3, Millipore, #07-449|D. Melanogaster_H3K27me3	His@ H3K27me3
anti-RNA Pol II phospho-S5|Pol2_mixed	Pol@ RNA polymerase II
anti-RNA Pol II phospho-S5|Pol2_PS7	Pol@ RNA polymerase II
Santa cruz rabbit polyclonal #sc-25761|Whole cell embryonic extract	Oth@ Su(H)
Santa cruz goat polyclonal #sc-15813|Whole cell embryonic extract	Oth@ Su(H)
-|0-16h embryos	Unc@ Unclassified
anti-H3K27me3, CS200603 (Milipore)|0-16h embryos	His@ H3K27me3
anti-E(Z), Carrington &amp; Jones, Development (1996).|0-16h embryos	Oth@ E(z)
Anti-dimethyl-Histone H3 (Lys4)|H3K4me2 ChIP from control germline knock-down ovaries	His@ H3K4me2
Histone H3K9me3 antibody (pAb)|H3K9me3 ChIP from piwi germline knock-down ovaries	His@ H3K9me3
Histone H3K9me3 antibody (pAb)|H3K9me3 ChIP from rhino germline knock-down ovaries	His@ H3K9me3
Histone H3K9me3 antibody (pAb)|H3K9me3 ChIP from control germline knock-down ovaries	His@ H3K9me3
