NoAb	NoD@ NA
DNase-seq	DNS@ DNase-Seq
N/A	InP@ Input control
Chromotek GFP trap Agarose	Oth@ GFP
H3K4me2 (Millipore 07-030)|Primary thioglycollate-elicited peritoneal macrophages	His@ H3K4me2
Streptavidin beads|murine primary activated B cells	Oth@ Biotin
peritoneal thioglycolate-elicited macrophages	Unc@ Unclassified
embryonic stem cells	Unc@ Unclassified
large peritoneal macrophages	Unc@ Unclassified
RPA|in vitro activated B cells	Oth@ Rpa1
C2C12 myoblasts	Unc@ Unclassified
none	InP@ Input control
HA|NIH/3T3 Tet-On 3G cells	Oth@ Epitope tags
STAT1 (santa cruz, sc-592)|Primary bone marrow-derived macrophages (BMDM)	Oth@ Stat1
Stat1|sc-346|A302-753A|bone marrow	Oth@ Stat1
H3K9me2|MEF	His@ H3K9me2
anti-p300|primary CD4+ T cells from spleen and lymph nodes	Oth@ Ep300
H3K4me1 (Abcam ab8895)|Primary thioglycollate-elicited peritoneal macrophages	His@ H3K4me1
Liver	Unc@ Unclassified
h3k4me3	His@ H3k4me3
anti-MEF2D (Flavell et al., 2008)|retina	Oth@ Mef2d
PU1|sc-352|bone marrow	Oth@ Spi1
none|Embryonic stem cells	InP@ Input control
Anti-PU.1 (in-house rabbit polyclonal against the N-Terminal (aa. 1-100))|Primary bone marrow-derived macrophages (BMDM)	Oth@ Spi1
H4K8ac (Millipore 07-328)|Primary thioglycollate-elicited peritoneal macrophages	His@ H4K8ac
Input|Control signal which may be subtracted from experimental raw signal before peaks are called.|MEL	InP@ Input control
IgG	InP@ Input control
Ab3261 Abcam|Leukemic bone marrow	His@ H3K79me1
p65 (Santa Cruz sc-372)|Primary thioglycollate-elicited peritoneal macrophages	Oth@ Rela
DMC1 (C-20)|sc 8973|adult testis	Oth@ Dmc1
STAT3|murine CD4+ T	Oth@ Stat3
Microglia	Unc@ Unclassified
G1E-ER4+E2 cells	Unc@ Unclassified
N/A|DIV7 mCTX neurons	InP@ Input control
anti-Suz12 (D39F6 XP Cell Signaling)|Embryonic Stem Cells	Oth@ Suz12
H3K27Ac (Abcam, ab4729)|Primary bone marrow-derived macrophages (BMDM)	His@ H3K27ac
NA|NIH/3T3 Tet-On 3G cells	InP@ Input control
CD43 negative mouse resting B cells	Unc@ Unclassified
INPUT|whole liver extract	InP@ Input control
IRF4|Th17 in vitro	Oth@ Irf4
Input|Control signal which may be subtracted from experimental raw signal before peaks are called.|C2C12	InP@ Input control
spermatocytes	Unc@ Unclassified
H3K4me3 (Millipore/EMD, 07-473, lot 2155413)|spermatocytes	His@ H3K4me3
BMAL1|Liver cells	Oth@ Arntl
sorted murine lin-/Sca-1/c-Kit in vitro cultured cells	Unc@ Unclassified
none|Differentiated embryonic stem cells	InP@ Input control
Anti-H3K4me3 (Active Motif #39159)|Primary bone marrow-derived macrophages (BMDM)	His@ H3K4me3
Anti-H3K27ac (Abcam # ab4729)|Primary bone marrow-derived macrophages (BMDM)	His@ H3K27ac
Anti-H3K4me1 (Abcam # ab8895)|Primary bone marrow-derived macrophages (BMDM)	His@ H3K4me1
Cebpb|sc-150|bone marrow	Oth@ Cebpb
STAT5 antibody C-17|liver tissue	Oth@ Stat5a
HPC-7 Cell Line	Unc@ Unclassified
Anti H3K4me3 Millipore 07-473	His@ H3K4me3
none (input)|ES cells	InP@ Input control
Ab3594 Abcam|Leukemic bone marrow	His@ H3K79me2
H3K4me3|Embryonic Stem Cells (ESCs)	His@ H3K4me3
none|mouse embryonic stem cells	InP@ Input control
CREB|CREB-1 Antibody (Santa Cruz Biotech, catalog# sc-186)	Oth@ Creb1
p300|Th17 in vitro	Oth@ Ep300
Nfkb1|sc-114|bone marrow	Oth@ Rela
Irf4|sc-6059|bone marrow	Oth@ Irf4
Irf2|ab65048|sc-498|bone marrow	Oth@ Irf2
Neuralized embryoid bodies	Unc@ Unclassified
Atf3|sc-188|ab70005-100|bone marrow	Oth@ Atf3
H3K9me2|DC	His@ H3K9me2
H3K27-3me	His@ H3K273me
H3k4-3me	His@ H3K4me3
Bcl11a	Oth@ Bcl11a
H3K4me1 (Abcam, Ab8895, lot 720417)|ES cells	His@ H3K4me1
None (Input DNA)|Splenic	InP@ Input control
RAD21 (Abcam, ab992)|Splenic	Oth@ Rad21
none|Mouse back skins	InP@ Input control
embryonic stem cells, mock treatment	Unc@ Unclassified
MED1 (M-255)|3T3-L1 pre-adipocytes (4h)	Oth@ Med1
anti-HA|embryonic stem cells	Oth@ Epitope tags
H3K27ac (Abcam 4729)|forebrain	His@ H3K27ac
PU.1 (Santa Cruz sc-352)|Primary thioglycollate-elicited peritoneal macrophages	Oth@ Spi1
3FLAG|M2 (Sigma Aldrich)|3T3-L1 cells (ATCC #CL-173)	Oth@ Epitope tags
Dynabeads M-280 Streptavidin (Invitrogen)|Mature B	Oth@ Biotin
Stat2|ab53149|sc-839|bone marrow	Oth@ Stat2
H3K4me3|primary CD4+ T cells from spleen and lymph nodes	His@ H3K4me3
H3K4me3|mouse B cells	His@ H3K4me3
RNA Pol II (Rpb1 N-terminus)|V6.5 mES cells	Pol@ RNA Polymerase II
none|forebrain	InP@ Input control
DNase	DNS@ DNase-Seq
n/a|n/a	InP@ Input control
no antibody|ES cell culture	InP@ Input control
sc48|DIV7 mCTX neurons	Oth@ Fosb
sc52|DIV7 mCTX neurons	Oth@ Fos
H2A.X (Xiao lab)|reprogramming from MEF cell	His@ H2A.X
Ab2621 Abcam|Leukemic bone marrow	His@ H3K79me3
H3K4me3 (Abcam, Catalog# ab8580, Lot# GR47272-1)|Embryonic stem cells	His@ H3K4me3
H3K27ac (Abcam 4729)|heart	His@ H3K27ac
JARID2|Embryonic stem cells	Oth@ Jarid2
none|ES cell culture	InP@ Input control
anti-HA (12CA5)|Embryonic stem cells	Oth@ Epitope tags
cocktail of Ab-10 from Labvision and sc-543 from Santa Cruz|7438 cells + Afos	Oth@ Esr1
cocktail of PA-510A and PA-511A from Affinity BioReagents and sc-1004 from Santa Cruz|7438 cells + Afos	Oth@ Nr3c1
cocktail of Ab-10 from Labvision and sc-543 from Santa Cruz|7438 cells	Oth@ Esr1
cocktail of PA-510A and PA-511A from Affinity BioReagents and sc-1004 from Santa Cruz|7438 cells	Oth@ Nr3c1
cocktail of PA-510A and PA-511A from Affinity BioReagents and sc-1004 from Santa Cruz	Oth@ Nr3c1
anti-H3K4me1|Primary bone marrow-derived macrophages, no treatment, H3K4me1 ChIP	His@ H3K4me1
Input|Control signal which may be subtracted from experimental raw signal before peaks are called.|G1E-ER4	InP@ Input control
Junb|ab28838|sc-46|bone marrow	Oth@ Junb
NA|Mature B	InP@ Input control
Anti-DMC1 (C-20)|Anti-DMC1 9R_testis_SSDS	Oth@ Dmc1
IRF4|murine CD4+ T	Oth@ Irf4
H3K4me3	His@ H3K4me3
None|Liver tissue	InP@ Input control
none|heart	InP@ Input control
none (input)|Heart	InP@ Input control
none|mammary gland	InP@ Input control
Pol-II|MMS-128P|bone marrow	Pol@ RNA Polymerase II
NA|Pro-B	InP@ Input control
anti-H3|Macrophages	His@ H3
DNMT1	Oth@ Dnmt1
Mouse neuroblastoma cell line	Unc@ Unclassified
H3K27ac (Active, Motif, lot 39133)|ES cells	His@ H3K27ac
Nucleus accumbens tissue	Unc@ Unclassified
None|SV40T transformed fibroblasts	InP@ Input control
Anti-RORgamma(t),  eBioscience, AFKJS-9, 14-6988, E11084-325|Th17 cells	Oth@ Rorc
H3K27me3|Embryonic Stem Cells (ESCs)	His@ H3K27me3
H3K27ac (Abcam 4729)|liver	His@ H3K27ac
anti-POLR3D (mouse and human) CS681 Ab,  raised against peptide CSPDFESLLDHKHR {Chong et al 2001}|Mouse Liver	Pol@ Polr3d
H3K4me1 (Abcam, catalog# ab8895, lot# GR46388-1)|Primary B-cells	His@ H3K4me1
H3K4me3 (Active Motif, catalog# 39159, lot# 1609004)|Primary B-cells	His@ H3K4me3
c-Myc N262 (Santa Cruz, catalog# sc764, lot#G0111)|Primary B-cells	Oth@ Myc
(rb) -H3K4me3 (#528; Ali  Shilatifard)|ES cell culture	His@ H3K4me3
FLAG (Sigma, F3165)|Embryonic stem cells	Oth@ Epitope tags
Pou5f1/Oct4|V5|KH2 ES cells	Oth@ Pou5f1
Histone H3 trimethyl Lys4|mammary gland	His@ H3K4me3
none, input-DNA|Embryonic stem cell	InP@ Input control
GATA1_(SC-265)|sc-265|GATA1 is erythroid-specific and is responsible for the regulated transcription of erythroid genes.|rat monoclonal antibody raised against mouse recombinant GATA1; recommended for detection of GATA1 of mouse, rat and human origin. Antibody Target: GATA1|G1E-ER4	Oth@ Gata1
H3K36me3|ab9050|H3K36me3 IP	His@ H3K36me3
H3K4me3|ab8580|H3K4me3 IP	His@ H3K4me3
Bcl6 antibody N-3|liver tissue	Oth@ Bcl6
none|HL-1 cells	InP@ Input control
H3K27me3 from T. Jenuwein	His@ H3K27me3
H3K27me3	His@ H3K27me3
None|None|iPSC	InP@ Input control
Med1/TRAP220|Bethyl A300-793A|iPSC	Oth@ Med1
WCE|3T3L1	InP@ Input control
H4K20me1|3T3L1	His@ H4K20me1
H3K9me3|3T3L1	His@ H3K9me3
H3K79me2|3T3L1	His@ H3K79me2
H3K4me3|3T3L1	His@ H3K4me3
H3K27ac|3T3L1	His@ H3K27ac
none|liver	InP@ Input control
Gata2|FDCPmix	Oth@ Gata2
H3K4me3|liver tissue	His@ H3K4me3
H3K4me1|liver tissue	His@ H3K4me1
STAT3|Th17 in vitro	Oth@ Stat3
none|none|input	InP@ Input control
RPB2|sc-67318|RPB2 IP	Pol@ Polr2b
Atrx|Santa Cruz (sc-15408)|Primary culutured mouse cortical neurons (DIV 8)	Oth@ Atrx
H3K9me3 (Active Motif #39161)|TT2	His@ H3K9me3
small peritoneal macrophages	Unc@ Unclassified
H3K27ac|abcam:ab4729, lot3221746|Heart	His@ H3K27ac
hematopoietic stem and progenitor cells from E14.5 foetal liver	Unc@ Unclassified
Rabbit polyclonal anti-mouse NLRC5 (aa 1139) custom antibody generated by Adipogen|WT T-cells	Oth@ Nlrc5
anti-H3K27me3 (C36B11 Cell Signaling)|Embryonic Stem Cells	His@ H3K27me3
HA antibody, Abcam ab9110|Embryonic Stem Cells	Oth@ Epitope tags
none|embryonic stem cells (ESC)	InP@ Input control
PU.1 (in-house rabbit polyclonal anti-mouse PU.1 1-100aa)|Primary bone marrow-derived macrophages (BMDM)	Oth@ Spi1
IRF8 (in-house rabbit polyclonal anti-mouse IRF8 146-162aa)|Primary bone marrow-derived macrophages (BMDM)	Oth@ Irf8
H3K27me3 IP (abcam 6002)|embryoid bodies	His@ H3K27me3
H3K27me3 IP (abcam 6002)|embryonic stem cells	His@ H3K27me3
07-449 Millipore|Leukemic bone marrow	His@ H3K27me3
none (streptavidin-coated beads used to pulldown biotinylated Gata4; 11205D, M-280 Streptavidin Invitrogen)|Heart	InP@ Input control
rabbit anti-H3K9ac (Millipore; 06-942)|intestinal epithelial cells	His@ H3K9ac
RNA Pol II (Rpb1 N-terminus)|SC-899|mouse heart	Pol@ RNA Polymerase II
none|none|Input, liver cells	InP@ Input control
