NoAb	NoD@ NA
Anti-FLAG (SIGMA,F1804)|whole cell	Oth@ Epitope tags
anti-Myc antibody (9E10)|meiotic culture	Oth@ Epitope tags
none|meiotic culture	InP@ Input control
na|BY4741	InP@ Input control
H3K9ac 06-942 (Millipore)|YMC cycling cells	His@ H3K9ac
His+ FOAr colonies	Unc@ Unclassified
INPUT|yeast	InP@ Input control
yeast cells	Unc@ Unclassified
none|whole cell	InP@ Input control
H4K16ac 07-329 (Millipore)|YMC cycling cells	His@ H4K16ac
H3K36me3 ab9050 (Abcam)|YMC cycling cells	His@ H3K36me3
H3K4me3 CS200580 (Millipore)|YMC cycling cells	His@ H3K4me3
H3 05-928 (Millipore)|YMC cycling cells	His@ H3
H4K5ac 07-327 (Millipore)|YMC cycling cells	His@ H4K5ac
H3K56ac 07-677 (Millipore)|YMC cycling cells	His@ H3K56ac
Esa1 ab4466 (Abcam)|YMC cycling cells	Oth@ ESA1
HA 12CA5 11583816001 (Roche)|YMC cycling cells	Oth@ Epitope tags
FLAG M2 F1804 (Sigma)|YMC cycling cells	Oth@ Epitope tags
Snf2 N' Ab|yeast	Oth@ SNF2
12CA5 anti-HA (not from a commercial source)|S. cerevisiae liquid culture in logarhithmic growth	Oth@ Epitope tags
Snf2 C' Ab|yeast	Oth@ SNF2
no antibody|S. cerevisiae untagged strain	InP@ Input control
no antibody|S. cerevisiae Ecm5-13Myc strain	InP@ Input control
anti-Myc (9E10 monoclonal)|S. cerevisiae untagged strain	Oth@ Epitope tags
anti-Myc (9E10 monoclonal)|S. cerevisiae Ecm5-13Myc strain	Oth@ Epitope tags
anti-Myc (9E10 monoclonal)|S. cerevisiae Snt2-13Myc strain	Oth@ Epitope tags
anti-Myc EZview affinity gel (Sigma)|Yeast cell	Oth@ Epitope tags
H3K9Ac millipore|yeast	His@ H3K9ac
no antibody|S. cerevisiae Snt2-13Myc strain	InP@ Input control
anti-htz1 (Active motif, catalog# 39467, lot# 26409001)|BY4741	His@ HTZ1
anti-h4r3me2s (Abcam, catalog# ab5823, lot# GR78124-1)|BY4741	His@ H4R3me2
anti-h4r3me (Abcam, catalog# ab17339, lot# GR52461-1)|BY4741	His@ H4R3me1
anti-h4k20me (Abcam, catalog# ab9051, lot# GR79450-1)|BY4741	His@ H4K20me1
anti-h4k16ac (Millipore, catalog# 07-329, lot# 2073125)|BY4741	His@ H4K16ac
anti-h4k12ac (Millipore, catalog# 07-595, lot# 2019723)|BY4741	His@ H4K12ac
anti-h3s10ph (Millipore, catalog# 04-817, lot# NG1867615)|BY4741	His@ H3S10ph
anti-h3k9ac (Abcam, catalog# ab10812, lot# GR68135)|BY4741	His@ H3K9ac
anti-h3k79me3 (Abcam, catalog# ab2621, lot# 361576)|BY4741	His@ H3K79me3
anti-h3k79me (Abcam, catalog# ab2886, lot#s GR64011-1, GR64011-2)|BY4741	His@ H3K79me1
anti-h3k56ac (Millipore, catalog# 07-677, lot#s DAM1413945, DAM1462569)|BY4741	His@ H3K56ac
anti-h3k4me3 (Millipore, catalog# 04-745, lot#s DAM1567816, DAM1606783)|BY4741	His@ H3K4me3
anti-h3k4me2 (Abcam, catalog# ab32356, lot#s GR106705, GR84702)|BY4741	His@ H3K4me2
anti-h3k36me3 (Abcam, catalog# ab9050, lot#s 453637, 927884)|BY4741	His@ H3K36me3
anti-h3k36me2 (Abcam, catalog# ab9049, lot# GR75522-1)|BY4741	His@ H3K36me2
anti-h3k36me (Abcam, catalog# ab9048, lot#s GR69672-1, GR81164-1)|BY4741	His@ H3K36me1
anti-h3k27ac (Millipore, catalog# 07-360, lot# 2090153)|BY4741	His@ H3K27ac
anti-h3k23ac (Millipore, catalog# 07-355, lot# 27133)|BY4741	His@ H3K23ac
anti-h3k18ac (Abcam, catalog# ab1191, lot# GR49361-1)|BY4741	His@ H3K18ac
anti-h3k14ac (Millipore, catalog# 07-353, lot# 2073782)|BY4741	His@ H3K14ac
anti-h2as129ph (Abcam, catalog# ab15083, lot# GR36312-1)|BY4741	His@ H2AS129ph
anti-h2ak5ac (Abcam, catalog# ab45152, lot# GR46560-3)|BY4741	His@ H2AK5ac
Anti-HA (abcam,ab16918)|whole cell	Oth@ Epitope tags
8WG16 Covance|Yeast	Pol@ RNA Polymerase II
1Y26 (neoclone, catalog# WP012, lot# A5081456)|S. cerevisiae liquid culture in logarhithmic growth	Pol@ RPB3
anti-h4k8ac (Millipore, catalog# 07-328, lot# 2075956)|BY4741	His@ H4K8ac
anti-h4k5ac (Millipore, catalog# 07-327, lot# 2019741)|BY4741	His@ H4K5ac
anti-h3k4me (Abcam, catalog# ab8895, lot#s GR46387, GR616306)|BY4741	His@ H3K4me1
anti-h3k4ac (Millipore, catalog# 07-539, lot# 2116017)|BY4741	His@ H3K4ac
anti-Htz1|Saccharomyces cerevisiae grown in SD medium	Oth@ HTZ1
anti-RNA/DNA hybrid (S9.6)|asynchronous cells	Oth@ DNA-RNA hybrids
BrdU antibody (Invitrogen, catalog#033900, lot#1462116A)|BrdU IP DNA from S. cerevisiae	Oth@ BrdU
RNAPII Ser5P antibody|Wild type yeast cells	Pol@ RNA Polymerase II
IgG|RSC2 TAP-tagged yeast cells	InP@ Input control
yeast cells grown in YPD	Unc@ Unclassified
H3K4me3 (Abcam, mAbcam1012, lot 1152779)|Yeast	His@ H3K4me3
PK, clone SV5-Pk1|Inmunoprecipitated DNA	Oth@ STH1
anti-V5 tag antibody (AbD Serotec, mouse IgG2a, MCA 1360, batch 1009A)|C3857	Oth@ Epitope tags
anti-V5 tag antibody (AbD Serotec, mouse IgG2a, MCA 1360, batch 1009A)|C3632	Oth@ Epitope tags
IgG|SWI6 TAP-tagged yeast cells	InP@ Input control
anti-HA 12CA5|Yeast	Oth@ Epitope tags
anti-HA EZview affinity gel (Sigma)|Yeast cell	Oth@ Epitope tags
PCNA (804)|whole cell	Oth@ PCNA
