SRA	SRX	MGI	old	new	judge
16	175	http://www.ncbi.nlm.nih.gov/sra?term=SRX768487	NoAb	NoD@ NA	
4	21	http://www.ncbi.nlm.nih.gov/sra?term=SRX297096	DNase-seq	DNS@ DNase-Seq	
18	18	http://www.ncbi.nlm.nih.gov/sra?term=SRX595774	S2 cell line	Unc@ Unclassified	
17	17	http://www.ncbi.nlm.nih.gov/sra?term=SRX1134710	adult ovary	Unc@ Unclassified	
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX110798	None|muscle FAC sorted from dissociated embryos	InP@ Input control	
12	12	http://www.ncbi.nlm.nih.gov/sra?term=SRX193338	none|Schneider's Drosophila Line 2; S2 cells	InP@ Input control	
1	12	http://www.ncbi.nlm.nih.gov/sra?term=SRX858992	none|embryos	InP@ Input control	
11	11	http://www.ncbi.nlm.nih.gov/sra?term=SRX456159	Kc167 cells	Unc@ Unclassified	
10	10	http://www.ncbi.nlm.nih.gov/sra?term=SRX969933	none|0-12 hour old embryos	InP@ Input control	
1	10	http://www.ncbi.nlm.nih.gov/sra?term=SRX025479	E16-24h	Unc@ Unclassified	
9	9	http://www.ncbi.nlm.nih.gov/sra?term=SRX760499	whole embryos, 0-16 hours	Unc@ Unclassified	
9	9	http://www.ncbi.nlm.nih.gov/sra?term=SRX447394	none|S2 cells	InP@ Input control	
8	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX197582	Pol II|Covance 8WG16 (MMS-126R)|Staged embryos	Pol@ RNA polymerase II	
8	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX110771	Pol II (8WG16, Covance)|muscle FAC sorted from dissociated embryos	Pol@ RNA polymerase II	
1	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX025465	E8-16h	Unc@ Unclassified	
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX750082	anti-RNA Pol II (CTD-pSer5), abcam ab5408|embryo	Pol@ RNA polymerase II	
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX110769	Pol II (CTD48H, Millipore)|muscle FAC sorted from dissociated embryos	Pol@ RNA polymerase II	
1	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX111790	E16-24	Unc@ Unclassified	
1	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX111786	E0-8	Unc@ Unclassified	
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX810432	H3K27me3 (Millipore, 07-449, lot 2275589)|Cell culture	His@ H3K27me3	
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX643415	Anti-H2AvD antisera (Glaser lab stock)|S2 cell line	His@ H2A.V	
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX149200	none|S2 cell line	InP@ Input control	
2	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX511125	embryo	Unc@ Unclassified	
1	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX750069	none|embryo	InP@ Input control	
1	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX041393	WPP	Unc@ Unclassified	
1	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX025473	E0-8h	Unc@ Unclassified	
5	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX969917	ACF1-Rb2|0-12 hour old embryos	Oth@ Acf	
5	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX885697	none|Drosophila embryo	InP@ Input control	
