SRA	SRX	MGI	old	new	judge
185	1587	http://www.ncbi.nlm.nih.gov/sra?term=SRX879186	NoAb	NoD@ NA	
39	300	http://www.ncbi.nlm.nih.gov/sra?term=SRX884059	DNase-seq	DNS@ DNase-Seq	
17	233	http://www.ncbi.nlm.nih.gov/sra?term=ERX662614	N/A	InP@ Input control	
59	59	http://www.ncbi.nlm.nih.gov/sra?term=ERX646167	Chromotek GFP trap Agarose	Oth@ GFP	
40	40	http://www.ncbi.nlm.nih.gov/sra?term=SRX352257	H3K4me2 (Millipore 07-030)|Primary thioglycollate-elicited peritoneal macrophages	His@ H3K4me2	
38	38	http://www.ncbi.nlm.nih.gov/sra?term=SRX273257	Streptavidin beads|murine primary activated B cells	Oth@ Biotin	
36	36	http://www.ncbi.nlm.nih.gov/sra?term=SRX746999	peritoneal thioglycolate-elicited macrophages	Unc@ Unclassified	
34	34	http://www.ncbi.nlm.nih.gov/sra?term=SRX810643	None (input)|Immortalized MEF	InP@ Input control	
31	31	http://www.ncbi.nlm.nih.gov/sra?term=SRX760033	embryonic stem cells	Unc@ Unclassified	
30	30	http://www.ncbi.nlm.nih.gov/sra?term=SRX747056	large peritoneal macrophages	Unc@ Unclassified	
30	30	http://www.ncbi.nlm.nih.gov/sra?term=SRX205967	RPA|in vitro activated B cells	Oth@ Rpa1	
7	24	http://www.ncbi.nlm.nih.gov/sra?term=SRX256951	none	InP@ Input control	
24	24	http://www.ncbi.nlm.nih.gov/sra?term=SRX366563	HA|NIH/3T3 Tet-On 3G cells	Oth@ Epitope tags	
23	23	http://www.ncbi.nlm.nih.gov/sra?term=SRX805983	STAT1 (santa cruz, sc-592)|Primary bone marrow-derived macrophages (BMDM)	Oth@ Stat1	
21	21	http://www.ncbi.nlm.nih.gov/sra?term=SRX739775	C2C12 myoblasts	Unc@ Unclassified	
1	21	http://www.ncbi.nlm.nih.gov/sra?term=SRX914984	CorticalNeurons|CorticalNeurons	Unc@ Unclassified	
1	21	http://www.ncbi.nlm.nih.gov/sra?term=SRX122544	Stat1|sc-346|A302-753A|bone marrow	Oth@ Stat1	
1	21	http://www.ncbi.nlm.nih.gov/sra?term=SRX021896	H3K9me2|MEF	His@ H3K9me2	
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX810441	none|Embryonic stem cells	InP@ Input control	
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX183960	anti-p300|primary CD4+ T cells from spleen and lymph nodes	Oth@ Ep300	
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX1133087	KH2 mouse embryonic stem cells	Unc@ Unclassified	
19	19	http://www.ncbi.nlm.nih.gov/sra?term=SRX319926	H3K4me1 (Abcam ab8895)|Primary thioglycollate-elicited peritoneal macrophages	His@ H3K4me1	
19	19	http://www.ncbi.nlm.nih.gov/sra?term=SRX1057073	H3.3|Primary Cortical Neurons (E16.5  DIV8)	His@ H3.3	
4	17	http://www.ncbi.nlm.nih.gov/sra?term=SRX711579	Liver	Unc@ Unclassified	
1	17	http://www.ncbi.nlm.nih.gov/sra?term=ERX040281	h3k4me3	His@ H3k4me3	
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX810647	H3K4me3 (Millipore, catalog# 17-614, lot# 1974075)|Immortalized MEF	His@ H3K4me2	
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX810645	H3K4me1 (Active Motif, catalog# 39297, lot# 21008001)|Immortalized MEF	His@ H3K4me1	
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX700335	anti-MEF2D (Flavell et al., 2008)|retina	Oth@ Mef2d	
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX122455	PU1|sc-352|bone marrow	Oth@ Spi1	
15	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX348404	Anti-PU.1 (in-house rabbit polyclonal against the N-Terminal (aa. 1-100))|Primary bone marrow-derived macrophages (BMDM)	Oth@ Spi1	
15	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX319943	H4K8ac (Millipore 07-328)|Primary thioglycollate-elicited peritoneal macrophages	His@ H4K8ac	
