SRA	SRX	MGI	old	new	judge
27	454	http://www.ncbi.nlm.nih.gov/sra?term=SRX826026	NoAb	NoD@ NA	
66	66	http://www.ncbi.nlm.nih.gov/sra?term=SRX381306	Anti-FLAG (SIGMA,F1804)|whole cell	Oth@ Epitope tags	
48	48	http://www.ncbi.nlm.nih.gov/sra?term=SRX513243	anti-Myc antibody (9E10)|meiotic culture	Oth@ Epitope tags	
1	48	http://www.ncbi.nlm.nih.gov/sra?term=SRX386895	none|meiotic culture	InP@ Input control	
1	45	http://www.ncbi.nlm.nih.gov/sra?term=SRX717518	na|BY4741	InP@ Input control	
32	32	http://www.ncbi.nlm.nih.gov/sra?term=SRX377033	H3K9ac 06-942 (Millipore)|YMC cycling cells	His@ H3K9ac	
22	22	http://www.ncbi.nlm.nih.gov/sra?term=SRX043840	His+ FOAr colonies	Unc@ Unclassified	
1	21	http://www.ncbi.nlm.nih.gov/sra?term=SRX1004415	anti-FLAG	Oth@ Epitope tags	
1	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX695980	INPUT|yeast	InP@ Input control	
18	18	http://www.ncbi.nlm.nih.gov/sra?term=SRX065620	yeast cells	Unc@ Unclassified	
1	18	http://www.ncbi.nlm.nih.gov/sra?term=SRX381214	none|whole cell	InP@ Input control	
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX377145	H4K16ac 07-329 (Millipore)|YMC cycling cells	His@ H4K16ac	
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX377129	H3K36me3 ab9050 (Abcam)|YMC cycling cells	His@ H3K36me3	
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX377113	H3K4me3 CS200580 (Millipore)|YMC cycling cells	His@ H3K4me3	
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX377097	H3 05-928 (Millipore)|YMC cycling cells	His@ H3	
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX377081	H4K5ac 07-327 (Millipore)|YMC cycling cells	His@ H4K5ac	
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX377065	H3K56ac 07-677 (Millipore)|YMC cycling cells	His@ H3K56ac	
1	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX974672	CMA601 antibody|cell culture	Pol@ RNA Polymerase II	
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX377187	Esa1 ab4466 (Abcam)|YMC cycling cells	Oth@ ESA1	
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX377173	HA 12CA5 11583816001 (Roche)|YMC cycling cells	Oth@ Epitope tags	
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX377159	FLAG M2 F1804 (Sigma)|YMC cycling cells	Oth@ Epitope tags	
12	12	http://www.ncbi.nlm.nih.gov/sra?term=SRX695999	Snf2 N' Ab|yeast	Oth@ SNF2	
10	10	http://www.ncbi.nlm.nih.gov/sra?term=SRX149468	12CA5 anti-HA (not from a commercial source)|S. cerevisiae liquid culture in logarhithmic growth	Oth@ Epitope tags	
8	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX695971	Snf2 C' Ab|yeast	Oth@ SNF2	
