N2|whole worms|embryo	Emb@ Embryos
N2|whole body|whole body|L3	Lar@ L3
N2|Mixed-stage embryos	Emb@ Mixed embryo
whole young adult worm lysates|young adult	Adl@ Young adult
wild-type N2	Unc@ Unclassified
whole adult animals|young adult	Adl@ Young adult
TY1072|whole worms|embryo	Emb@ Embryos
N2|Control sample from L3 stage N2 worms, whole body|whole body|L3	Lar@ L3
wild type|adult C. elegans|adult	Adl@ Adult
N2|whole worms|L3	Lar@ L3
N2|embryonic stage|Fed L1	Lar@ L1
N2|L3 embyros|L3	Lar@ L3
OP34|L4/young adult	Adl@ Young adult
ChIPed chromatin|embryo	Emb@ Embryos
YL409|Plin-35_LIN-35:GFP:FLAG whole animal|L1	Lar@ L1
TJ356|L4/Young adult	Adl@ Young adult
N2|whole body|L3	Lar@ L3
YL416|pGES-1  HPL-2:GFP:FLAG whole animal|L1	Lar@ L1
YL402|Ppie-1 LIN-35:GFP:FLAG whole animal|Young adult	Adl@ Young adult
HML214|Whoel animal extract|GFP	Unc@ Unclassified
N2	Unc@ Unclassified
OP179|staged young adults from OP179 (SNPC-4-GFP transgenic strain)|whole animal|YA	Adl@ Young adult
YL398|pGES-1 LIN-35:GFP:FLAG whole animal|L1	Lar@ L1
YL448|pGES-1 DPL-1:GFP:FLAG whole animal|L1	Lar@ L1
YL418|pGES-1 EFL-1:GFP:FLAG whole animal|L1	Lar@ L1
YL425|Pdpl-1_DPL-1:GFP:FLAG whole animal|L1	Lar@ L1
YL424|Pefl-1 EFL-1:GFP:FLAG whole animal|L1	Lar@ L1
YL468|Pmex-5 LIN-35:GFP:FLAG whole animal|Young adult	Adl@ Young adult
YL390|Ppie-1_DPL-1:GFP:FLAG whole animal|Young adult	Adl@ Young adult
YL445|Ppie-1 EFL-1:GFP:FLAG whole animal|Young adult	Adl@ Young adult
N2|Caenorhabditis elegans_N2_MXemb|MXemb	Emb@ Mixed embryo
OP74|OP74, HLH-8:GFP:3xFLAG animals|L3	Lar@ L3
OP81|OP81, EOR-1:GFP:3xFLAG animals|L3	Lar@ L3
OP26|L3	Lar@ L3
OP32|embryo	Emb@ Embryos
tdp-1(ok803)|CHIP from whole worm extract|young adult	Adl@ Young adult
N2|spe-11(hc77) yound adult	Adl@ Young adult
N2|glp-4 (bn2) yound adult	Adl@ Young adult
N2|N2 strain, L3 stage	Lar@ L3
N2|N2 strain, L2 stage	Lar@ L2
OP73|OP73, CEH-14:GFP:3xFLAG animals|L2	Lar@ L2
N2|synchronized young adult population of wild type strain N2|young adult	Adl@ Young adult
missing	Unc@ Unclassified
eri-1(mg366)|embryonic C. elegans|embryo	Emb@ Embryos
whole worm lysate	Adl@ Adult
N2|staged young adults (N2)|whole animal|YA	Adl@ Young adult
YL524|staged young adults from YL524 glp-1;OP179 (germ cell-deficient SNPC-4-GFP transgenic strain)|soma|YA	Adl@ Young adult
YL457|staged young adults from YL457 (germline-specific SNPC-4-GFP transgenic strain)|germline|YA	Adl@ Young adult
OP179|staged L4 larvae from OP179 (SNPC-4-GFP transgenic strain)|whole animal|L4	Lar@ L4
