Kc167|Kc167 Drosophila Embryonic Cell line	CeL@ Kc167
NoCell	NoD@ NA
S2|S2 cell line	CeL@ S2
muscle FAC sorted from dissociated embryos	Emb@ Muscle cells
Schneider's Drosophila Line 2; S2 cells|S2	CeL@ S2
S2	CeL@ S2
Kc167	CeL@ Kc167
whole larvae|3rd instar larvae	Lar@ 3rd instar
E16-24h|E16-24h	Emb@ 16-24h embryos
Kc cells|Kc167 Drosophila Embryonic Cell line	CeL@ Kc167
Kc167|Kc167 cells	CeL@ Kc167
Blastoderm embryos|Blastoderm	Emb@ Blastoderm
DRSC-S2|DRSC-S2 cell line	CeL@ S2
E8-16h|E8-16h	Emb@ 8-16h embryos
S2|embryonic cell	CeL@ S2
S2 cell culture|S2; Schneider's Drosophila Line 2;  Marco Blanchette's Lab	CeL@ S2
S2|S2 cells	CeL@ S2
Kc167|Kc167	CeL@ Kc167
salivary gland|third instar larva	Lar@ Salivary glands
Staged embryos|MBT 02to03h AEL	Emb@ 2-3h embryos
Pupae|Pupae	Pup@ Pupae
AdultFemale|AdultFemale	Adl@ Adult female
S2 cells|S2 cells	CeL@ S2
S2 DRSC: Schneider's line 2|S2 cells	CeL@ S2
iso1 (y; bw cn sp)|E16-24|E16-24	Emb@ 16-24h embryos
ISO1|E0-8|E0-8	Emb@ 0-8h embryos
E0-8h|E0-8h	Emb@ 0-8h embryos
E8-12|E8-12	Emb@ 8-12h embryos
E12-16|E12-16	Emb@ 12-16h embryos
L2|L2	Lar@ 2nd instar
whole embryos, 0-16 hours	Emb@ 0-16h embryos
Wild Type|Salivary Glands|Salivary Gland Cells|Third instar larvae	Lar@ Salivary glands
Staged embryos|pre-MBT 01to02h AEL	Emb@ 1-2h embryos
iso1 (y; bw cn sp)|E8-16|E8-16	Emb@ 8-16h embryos
embryo|NC13	Emb@ Mitotic cycle 13
L1|L1	Lar@ 1st instar
L3|L3	Lar@ 3rd instar
Canton S(B)|Whole Body	Adl@ Adult body
salivary gland|3rd instar larva	Lar@ Salivary glands
embryonic stage 5 to 8	Emb@ 2-4h embryos
AdultMale|AdultMale	Adl@ Adult male
S2R+	CeL@ S2
S3 cells|S3 late embryonic cells	CeL@ S3
S2 cells|S2 late embryonic cells	CeL@ S2
iso1 (y; bw cn sp)|WPP|WPP	Pup@ White prepupae
iso1 (y; bw cn sp)|Kc167|Kc167	CeL@ Kc167
Kc167 Drosophila Embryonic|Kc cells	CeL@ Kc167
S2|Schneider's Drosophila Line 2|S2; Schneider's Drosophila Line 2;  Marco Blanchette's Lab	CeL@ S2
E0-12|E0-12	Emb@ 0-12h embryos
Head neurons|R57C10|Head	Adl@ Head neurons
whole embryos	Emb@ 10-12h embryos
0-16h embryos|0-16h embryos	Emb@ 0-16h embryos
Kc167|Kc167 cells|Female late embryo derived cell line	CeL@ Kc167
BG3 cells	CeL@ ML-DmBG3-c2
E4-8|E4-8	Emb@ 4-8h embryos
yw|Whole cell embryonic extract|embryo|2-4 hour embryo	Emb@ 2-4h embryos
eye disks from 3rd instar larvae	Lar@ Eye-antennal discs
Oregon R (wild type)|Input DNA|whole-embryo	Emb@ 2-4h embryos
Oregon R (wild type)|Twist ChIP-Seq from 2-4 h wild type embryos|whole-embryo	Emb@ 2-4h embryos
S2 cells-DRSC (lot 181A1)|S2	CeL@ S2
E0-4|E0-4	Emb@ 0-4h embryos
Octopaminergic neurons|Tdc2|Head	Adl@ Octopaminergic neurons
ISO1|E16-24|E16-24	Emb@ 16-24h embryos
E0-4h|E0-4h	Emb@ 0-4h embryos
E20-24|E20-24	Emb@ 20-24h embryos
