NoCell	NoD@ NA
LoVo|LoVo|colon adenocarcinoma	Dig@ LoVo
H9 hESC line|N/A|N/A|N/A|N/A	PSC@ hESC H9
K562|K562|leukemia, The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. - ATCC|mesoderm	Bld@ K-562
B-Lymphocyte	Bld@ B-Lymphocytes
HeLa-S3|HeLa-S3|cervical carcinoma|ectoderm	Utr@ HeLa
IMR90|Cell Line|NA|None|Fetal lung fibroblast	Lng@ IMR-90
K562	Bld@ K-562
lymphoblastoid cell line|lymphoblastoid cell line	Bld@ Lymphoblastoid cell line
IMR90|IMR90 Human Diploid Fibroblasts	Lng@ IMR-90
H1|Cell Line|Embryonic Stem Cell|None|None	PSC@ hESC H1
GM12878	Bld@ GM12878
GM12878|GM12878|B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus|mesoderm	Bld@ GM12878
H9|Cell Line|Embryonic Stem Cell|None|None	PSC@ hESC H9
Mammary Epithelial|Mammary gland|N/A|N/A|Cancer	Brs@ T-47D
H1|Cell Line|Embryonic Stem Cell|None|Embryonic stem cell differentiated into trophoblast by treatment with BMP4	PSC@ hESC derived trophoblast cells
HUES64|HUES64|HUES64	PSC@ hESC HUES64
RAMOS|Burkitt's lymphoma cell line	Bld@ RAMOS
HepG2|HepG2|hepatocellular carcinoma|endoderm	Liv@ Hep G2
HepG2|hepatocellular carcinoma	Liv@ Hep G2
Primary Cell|CD34 Primary Cells|None|CD34+	Bld@ CD34+
H1-hESC	PSC@ hESC H1
H1|Cell Line|Embryonic Stem Cell|None|Embryonic stem cell differentiated into neural progenitor cells	PSC@ hESC derived neural cells
HUES64|dEN|dEN	PSC@ hESC derived mesendodermal cells
liver|adult	Liv@ Liver
H1|Cell Line|Embryonic Stem Cell|None|Embryonic stem cell differentiated into mesenchymal stem cells	PSC@ hESC derived mesendodermal cells
H1|Cell Line|Embryonic Stem Cell|None|Embryonic stem cell differentiated into mesendoderm by treatment with BMP4	PSC@ hESC derived mesendodermal cells
MCF-7|epithelial	Brs@ MCF-7
A549|epithelial cell line derived from a lung carcinoma tissue. (PMID: 175022), This line was initiated in 1972 by D.J. Giard, et al. through explant culture of lung carcinomatous tissue from a 58-year-old caucasian male. - ATCC, newly promoted to tier 2: not in 2011 analysis|endoderm	Lng@ A549
VCaP|Prosate cancer cells|vertebral metastatic lesion derived prostate cancer cells	Prs@ VCaP
GM12878|B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus	Bld@ GM12878
HUES64|dMS|dMS	PSC@ hESC derived mesendodermal cells
A549|a549 3D culture	Lng@ A549
