NoCell	NoD@ NA
C57BL/6|bone marrow|bone marrow-derived dendritic cells	Bld@ Dendritic Cells
C57BL/6|Primary thioglycollate-elicited peritoneal macrophages|Macrophage	Bld@ Macrophages
N/A|Lin- bone marrow cells|N/A|N/A|wt	Bld@ Bone Marrow Cells
C57BL/6|Primary bone marrow-derived macrophages (BMDM)|BMDM cells (7th day of differentiation)	Bld@ Macrophages
MEL|Unknown|MEL|Leukemia (K562 analog)|Immortal cells	Bld@ MEL
3T3L1|3T3L1	EmF@ 3T3-L1
C57BL/6|liver|adult	Liv@ Liver
Th17 in vitro|Th17	Bld@ Th17
liver|hepatocyte	Liv@ Hepatocytes
C57BL/6|Macrophages|Bone-marrow-derived macrophages	Bld@ Macrophages
C2C12|C3H|C2C12|Myoblast cell line derived from thigh muscle of C3H mice after crush injury|Immortal cells	Myo@ C2C12
CH12|B10.H-2aH-4bp/Wts|CH12|B-cell lymphoma (GM12878 analog)|Immortal cells	Bld@ CH12
Mammary epithelial cells|mammary gland|N/A|N/A|N/A	Brs@ Mammary glands
liver	Liv@ Liver
NIH/3T3 fibroblast cell line|NIH/3T3 Tet-On 3G cells	EmF@ NIH/3T3
embryonic stem cells|embryonic stem cells	PSC@ Embryonic Stem Cells
ES cells|embryonic stem cells	PSC@ Embryonic Stem Cells
murine primary activated B cells	Bld@ B-Lymphocytes
C57BL/6|in vitro activated B cells|in vitro activated B cells	Bld@ B-Lymphocytes
Heart|primary heart tissues	CDV@ Heart
C57BL/6|DIV7 mCTX neurons|mouse cortical neurons	Neu@ Cortical neuron
Leukemic bone marrow|bone marrow	Bld@ Leukemic bone marrow
liver|adult|normal	Liv@ Liver
Glia|Brain|Adult|N/A|wildtype	Neu@ Brain
liver|adult	Liv@ Liver
CD-1 (Charles River)|liver tissue|liver	Liv@ Liver
C57BL/6|MEF|Fibroblasts from day 13.5 embryos immortalized with SV40-LTA	EmF@ MEF
Neurons|Brain|Adult|N/A|wildtype	Neu@ Brain
C57BL/6|NAc dissection from 3-5 animals|nucleus accumbens	Neu@ Nucleus Accumbens
mouse ES cells|N/A|N/A|N/A|N/A	PSC@ Embryonic Stem Cells
V6.5|ES cell culture|embryonic stem cell	PSC@ Embryonic Stem Cells
intestine|n/a	Dig@ Intestines
C57BL/6|Pro-B|Bone Marrow	Bld@ B-Lymphocytes
Cd19-cre X Paxip flox/flox|mouse B cells|B cells|spleen	Bld@ B-Lymphocytes
mixed 129/B6|lung|adenocarcinoma	Lng@ Lung adenocarcinoma
C57BL/6|Liver|Liver	Liv@ Liver
C57BL/6|Hematopoietic stem cells (HSC)|Murine bone marrow derived primary HSCs|SP-KSL-CD150+	Bld@ Hematopoietic Stem Cells
3T3-L1|3T3-L1 pre-adipocytes (4h)|pre-adipocytes (4hr after induction)	EmF@ 3T3-L1
Brg1f/f; Actin-CreER|Differentiated embryonic stem cells	PSC@ mESC, differentiated
murine CD4+ T	Bld@ CD4-Positive T-Lymphocytes
G1E-ER4|129|G1E-ER4|Gata1 restored erythroid cells, differentiation induced by estradiol (E2)|Embryonic day 0 (stem cell)	Bld@ G1E
V6.5 mES cells|V6.5 mES cells	PSC@ Embryonic Stem Cells
N/A|Spleen|N/A|N/A|N/A	Spl@ Spleen
NIH3T3 fibroblasts	EmF@ NIH/3T3
B6C3F1/Crl (C57BL/6 male x C3H/He female)|whole liver extract|liver	Liv@ Liver
C57BL/6|Liver tissue|Liver	Liv@ Liver
E14 ESC|Embryonic Stem cells|N/A	PSC@ Embryonic Stem Cells
C57BL/6J	Unc@ Unclassified
BXH2/TyJ|Primary bone marrow-derived macrophages (BMDM)|BMDM cells (7th day of differentiation)	Bld@ Macrophages
In vitro effector CD8+ T cells|Day 3 in vitro activated effector CD8+ T cells	Bld@ CD8-Positive T-Lymphocytes
V6.5 embryonic stem cells|Embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL6/J|large peritoneal macrophages	Bld@ Macrophages
MLL-AF9 transformed leukemic cells|Murine MLL-AF9 leukemic cells	Bld@ MLL-AF9 leukemic cell
E14-WT|Embryonic Stem Cells	PSC@ Embryonic Stem Cells
7438 cells|7438 cells|mouse mammary cells (express GFP-GR and Cherry-ER under a tet regulated promoter)	Brs@ 7438
