BY4741	YSt@ BY4741
ZKY329: CEN.PK MATa SPT7-FLAG::natMX|YMC cycling cells	YSt@ ZKY329
meiotic culture|meiotic pophase	YSt@ Unknown
whole cell	YSt@ Unknown
NoCell	NoD@ NA
yeast|WCE	YSt@ Unknown
MATa /MAT his31/ his31 leu20/ leu20 ura30/ ura30 met150/MET15 LYS2/lys20 sir4::KanMX/ sir4::KanMX trp1::Hyg/ trp1::Hyg|His+ FOAr colonies	YSt@ Unknown
S. cerevisiae liquid culture in logarhithmic growth	YSt@ Unknown
S288c|NA	YSt@ S288C
W303|yeast cells	YSt@ W303
BY5765: CEN.PK MAT|YMC cycling cells	YSt@ BY5765
S. cerevisiae untagged strain	YSt@ BY4741
S. cerevisiae Ecm5-13Myc strain	YSt@ BY4741
S. cerevisiae Snt2-13Myc strain	YSt@ BY4741
w303-1a|cell culture	YSt@ W303
KHW127|Struhl lab	YSt@ KHW127
Yeast	YSt@ Unknown
whole organism	YSt@ Unknown
BY4741|Wild type yeast cells|Wild type yeast cells	YSt@ BY4741
ML1|Genomic DNA	YSt@ ML1
BY4741|BY4741	YSt@ BY4741
W303|NA	YSt@ W303
BY4741:MATa his31 leu20 met150 ura30|asynchronous cells	YSt@ BY4741
BY4741|RSC2 TAP-tagged yeast cells|RSC2 TAP-tagged yeast cells	YSt@ BY4741
BY4741|SWI6 TAP-tagged yeast cells|SWI6 TAP-tagged yeast cells	YSt@ BY4741
yeast cells grown in YPD	YSt@ yMC458
CEN.PK a SPT7-FLAG::Nat|YMC OX phase cells	YSt@ Unknown
W 303	YSt@ W303
KHW330|Struhl lab	YSt@ KHW330
W303|C3857	YSt@ W303
W303|C3632	YSt@ W303
KHW76|Struhl lab	YSt@ KHW76
HHY168|Struhl lab	YSt@ HHY168
CEN.PK a SPT7-FLAG::Nat|YMC RC phase	YSt@ Unknown
MAT can1::STE2pr-SP_his5 lyp1 his31 ura30 met150 HTZ1-HpH|Saccharomyces cerevisiae grown in SD medium	Unc@ Unclassified
Log-phase cells shifted to 0.15X YEP minus carbon source (4hours)	YSt@ Unknown
Log-phase cells	YSt@ Unknown
delta_Chd1 yeast (FM391,delta Chd1)	YSt@ Unknown
Wild-type yeast (FM391)	YSt@ Unknown
BY4742|BY4742_WT	YSt@ BY4742
Arp8-TAP	YSt@ BY4741
W303|Yeast cell	YSt@ W303
Y5863	YSt@ Y5863
Y5485	YSt@ Y5485
rpd3 sir2 _BrdU IP	YSt@ W303
rif1 delta|BrdU IP DNA from S. cerevisiae	YSt@ Unknown
WT|BrdU IP DNA from S. cerevisiae	YSt@ Unknown
KHW128|Struhl lab	YSt@ KHW128
MAT can1::STE2pr-SP_his5 lyp1 his31 ura30 met150 HTZ1-HpH rrp6::KanMX|Saccharomyces cerevisiae grown in SD medium	Unc@ Unclassified
SPJ5.41|Yeast MT	YSt@ SPJ5.41
BY4741|HSF1 TAP-tagged yeast cells|HSF1 TAP-tagged yeast cells	YSt@ BY4741
BY4741|TUP1 TAP-tagged yeast cells|TUP1 TAP-tagged yeast cells	YSt@ BY4741
W303 elc1::URA3|Yeast cells, elc1 deletion mutant, control	YSt@ W303
W303 elc1::URA3|Yeast cells, elc1 deletion mutant, Rpb1 ChIP	YSt@ W303
W303 wild-type|Yeast cells, wild-type, control	YSt@ W303
W303 wild-type|Yeast cells, wild-type, Rpb1 ChIP	YSt@ W303
WT|Rpb3-chIP-seq G1 Arrested WT	YSt@ Unknown
fkh1fkh22C|Rpb3-chIP-seq Asynchronous fkh1fkh12C	YSt@ Unknown
WT|Rpb3-chIP-seq Asynchronous WT	YSt@ Unknown
fkh1fkh22C|BrdU-IP-seq fkh1fkh12C	YSt@ Unknown
fkh1|BrdU-IP-seq fkh1	YSt@ Unknown
W303 Pgal1-Cse4|Yeast cell	YSt@ W303
MATa his31 leu20 ura30 met150 sir4::KanMX trp1::Hyg THI2::sir4|His+ FOAr colonies	YSt@ Unknown
CY1838|CY1838	Yst@ CY1838
BY4742|BY4741_spt20D	YSt@ BY4741
wild type_WCE	YSt@ W303
rpd3 _BrdU IP	YSt@ W303
sir2 _BrdU IP	YSt@ W303
wild type_BrdU IP	YSt@ W303
YJ90|Struhl lab	YSt@ YJ90
YJ89|Struhl lab	YSt@ YJ89
YJ91|Struhl lab	YSt@ YJ91
AM1474	YSt@ Unknown
AM1145	YSt@ Unknown
AM8834	YSt@ Unknown
AM5708	YSt@ Unknown
H3K9ac_gcn5_ChIPseq	YSt@ Unknown
H3K9ac_WT_ChIPseq	YSt@ Unknown
Yaf9-TAP	YSt@ BY4741
Swc2-TAP	YSt@ BY4741
Taf14-TAP	YSt@ BY4741
swc2DSwr1-TAP	YSt@ BY4741
Swc7-TAP	YSt@ BY4741
Swc5-TAP	YSt@ BY4741
Swc4-TAP	YSt@ BY4741
Rvb2-TAP	YSt@ BY4741
