SRA	SRX	MGI	old	new	judge
63	63	http://www.ncbi.nlm.nih.gov/sra?term=SRX257708	N2|whole worms|embryo	Emb@ Embryos?0	
22	48	http://www.ncbi.nlm.nih.gov/sra?term=SRX094514	N2|whole body|whole body|L3	Lar@ L3?0	
18	18	http://www.ncbi.nlm.nih.gov/sra?term=SRX208778	N2|Mixed-stage embryos	Emb@ Mixed embryo?0	
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX373278	whole young adult worm lysates|young adult	Adl@ Young adult?0	
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX003829	wild-type N2	Unc@ Unclassified	
12	12	http://www.ncbi.nlm.nih.gov/sra?term=SRX743651	glp-1(e2141)|whole animal	Adl@ Adult?0	
12	12	http://www.ncbi.nlm.nih.gov/sra?term=SRX554735	whole adult animals|young adult	Adl@ Young adult?0	
1	12	http://www.ncbi.nlm.nih.gov/sra?term=SRX257655	TY1072|whole worms|embryo	Emb@ Embryos?0	
10	10	http://www.ncbi.nlm.nih.gov/sra?term=SRX747308	JA1507|L3 larvae|whole larvae|L3	Lar@ L3?0	
8	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX094474	N2|Control sample from L3 stage N2 worms, whole body|whole body|L3	Lar@ L3?0	
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX113619	wild type|adult C. elegans|adult	Adl@ Adult?0	
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX330988	N2|whole worms|L3	Lar@ L3?0	
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX245917	N2|embryonic stage|Fed L1	Lar@ L1?0	
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX063962	N2|L3 embyros|L3	Lar@ L3?0	
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX005636	TJ356|L4/Young adult	Adl@ Young adult?0	
2	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX005626	OP34|L4/young adult	Adl@ Young adult?0	
1	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX246024	ChIPed chromatin|embryo	Emb@ Embryos?0	
1	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX080084	YL409|Plin-35_LIN-35:GFP:FLAG whole animal|L1	Lar@ L1?0	
5	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX105313	N2|whole body|L3	Lar@ L3?0	
5	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX080106	YL416|pGES-1  HPL-2:GFP:FLAG whole animal|L1	Lar@ L1?0	
5	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX080071	YL402|Ppie-1 LIN-35:GFP:FLAG whole animal|Young adult	Adl@ Young adult?0	
1	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX560679	HML214|Whoel animal extract|GFP	Unc@ Unclassified	
1	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX278067	N2	Unc@ Unclassified	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX747298	N2|L3 larvae|whole larvae|L3	Lar@ L3?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX395526	OP179|staged young adults from OP179 (SNPC-4-GFP transgenic strain)|whole animal|YA	Adl@ Young adult?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX080101	YL398|pGES-1 LIN-35:GFP:FLAG whole animal|L1	Lar@ L1?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX080097	YL448|pGES-1 DPL-1:GFP:FLAG whole animal|L1	Lar@ L1?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX080093	YL418|pGES-1 EFL-1:GFP:FLAG whole animal|L1	Lar@ L1?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX080083	YL425|Pdpl-1_DPL-1:GFP:FLAG whole animal|L1	Lar@ L1?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX080079	YL424|Pefl-1 EFL-1:GFP:FLAG whole animal|L1	Lar@ L1?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX080075	YL468|Pmex-5 LIN-35:GFP:FLAG whole animal|Young adult	Adl@ Young adult?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX080066	YL390|Ppie-1_DPL-1:GFP:FLAG whole animal|Young adult	Adl@ Young adult?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX080062	YL445|Ppie-1 EFL-1:GFP:FLAG whole animal|Young adult	Adl@ Young adult?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX027211	N2|Caenorhabditis elegans_N2_MXemb|MXemb	Emb@ Mixed embryo?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX015103	OP74|OP74, HLH-8:GFP:3xFLAG animals|L3	Lar@ L3?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX015099	OP81|OP81, EOR-1:GFP:3xFLAG animals|L3	Lar@ L3?0	
1	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX005637	OP26|L3	Lar@ L3?0	
1	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX003830	OP32|embryo	Emb@ Embryos?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX707299	tdp-1(ok803)|CHIP from whole worm extract|young adult	Adl@ Young adult?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX323688	N2|spe-11(hc77) yound adult	Adl@ Young adult?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX323685	N2|glp-4 (bn2) yound adult	Adl@ Young adult?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX323682	N2|N2 strain, L3 stage	Lar@ L3?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX323679	N2|N2 strain, L2 stage	Lar@ L2?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX015095	OP73|OP73, CEH-14:GFP:3xFLAG animals|L2	Lar@ L2?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX012298	N2|synchronized young adult population of wild type strain N2|young adult	Adl@ Young adult?0	
1	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX278065	missing	Unc@ Unclassified	
1	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX113602	eri-1(mg366)|embryonic C. elegans|embryo	Emb@ Embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX794055	whole worm lysate	Adl@ Adult?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX657411	sdc-2(y93) with RNAi against sdc-2|mixed stage embryos|embryo	Emb@ Mixed embryo?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX657409	N2|mixed stage embryos|embryo	Lar@ L1?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX395532	N2|staged young adults (N2)|whole animal|YA	Adl@ Young adult?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX395530	YL524|staged young adults from YL524 glp-1;OP179 (germ cell-deficient SNPC-4-GFP transgenic strain)|soma|YA	Adl@ Young adult?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX395528	YL457|staged young adults from YL457 (germline-specific SNPC-4-GFP transgenic strain)|germline|YA	Adl@ Young adult?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX395522	OP179|staged L4 larvae from OP179 (SNPC-4-GFP transgenic strain)|whole animal|L4	Lar@ L4?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX335104	JA1597|late embryos_H3K4me3 ChIP seq|whole embryo|Late embryo	Emb@ Late embryo?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX335102	JA1597|late embryos_CFP-1::GFP ChIP seq|whole embryo|Late embryo	Emb@ Late embryo?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX323691	N2|tra-1(e1834) homozygote L3 stage	Lar@ L3?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX323689	N2|tra-1(e1834) heterozygote L3 stage	Lar@ L3?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX172527	L3 larvae, set-4 mutant, H4K20me1 ChIP|whole body|L3 larvae	Lar@ L3?0	
