SRA	SRX	MGI	old	new	judge
61	61	http://www.ncbi.nlm.nih.gov/sra?term=SRX749080	Kc167|Kc167 Drosophila Embryonic Cell line	CeL@ Kc167?5	
5	50	http://www.ncbi.nlm.nih.gov/sra?term=SRX228495	NoCell	NoD@ NA?0	
35	35	http://www.ncbi.nlm.nih.gov/sra?term=SRX595774	S2|S2 cell line	CeL@ S2?5	
34	34	http://www.ncbi.nlm.nih.gov/sra?term=SRX110798	muscle FAC sorted from dissociated embryos	Emb@ Muscle cells?0	
33	33	http://www.ncbi.nlm.nih.gov/sra?term=SRX193340	Schneider's Drosophila Line 2; S2 cells|S2	CeL@ S2?5	
3	31	http://www.ncbi.nlm.nih.gov/sra?term=ERX242704	S2	CeL@ S2?5	
1	28	http://www.ncbi.nlm.nih.gov/sra?term=ERX402101	Kc167	CeL@ Kc167?5	
26	26	http://www.ncbi.nlm.nih.gov/sra?term=SRX969933	Oregon R|0-12 hour old embryos|0-12 hour old embryos	Emb@ 0-12h embryos?0	
1	24	http://www.ncbi.nlm.nih.gov/sra?term=SRX858991	embryos	Emb@ Embryos?0	
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX104980	whole larvae|3rd instar larvae	Lar@ 3rd instar?0	
1	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX025478	E16-24h|E16-24h	Emb@ 16-24h embryos?0	
19	19	http://www.ncbi.nlm.nih.gov/sra?term=SRX143463	Kc cells|Kc167 Drosophila Embryonic Cell line	CeL@ Kc167?5	
17	17	http://www.ncbi.nlm.nih.gov/sra?term=SRX330271	S2 cells|S2 cells	CeL@ S2?5	
17	17	http://www.ncbi.nlm.nih.gov/sra?term=SRX1134710	adult ovary|ovary|4-6 days old adult females	Adl@ Ovary?0	
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX447394	S2|S2 cells	CeL@ S2?5	
1	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX456149	Kc167|Kc167 cells	CeL@ Kc167?5	
1	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX348458	Blastoderm embryos|Blastoderm	Emb@ Blastoderm?0	
15	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX152113	DRSC-S2|DRSC-S2 cell line	CeL@ S2?5	
1	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX025464	E8-16h|E8-16h	Emb@ 8-16h embryos?0	
3	13	http://www.ncbi.nlm.nih.gov/sra?term=ERX269440	S2|embryonic cell	CeL@ S2?5	
13	13	http://www.ncbi.nlm.nih.gov/sra?term=SRX699117	EZ2-2 ; E(z) temperature sensitive cells|EZ2-2 ; E(z) temperature sensitive cells	Adl@ Temperature sensitive cells?0	
13	13	http://www.ncbi.nlm.nih.gov/sra?term=SRX306202	S2 cell culture|S2; Schneider's Drosophila Line 2;  Marco Blanchette's Lab	CeL@ S2?5	
12	12	http://www.ncbi.nlm.nih.gov/sra?term=SRX1021234	Drosophila Kc167 cells|Late-stage embryonic plasmatocyte (Kc167)	CeL@ Kc167?5	
1	12	http://www.ncbi.nlm.nih.gov/sra?term=SRX335486	Kc167|Kc167	CeL@ Kc167?5	
1	12	http://www.ncbi.nlm.nih.gov/sra?term=ERX102368	salivary gland|third instar larva	Lar@ Salivary glands?0	
11	11	http://www.ncbi.nlm.nih.gov/sra?term=SRX197572	Staged embryos|MBT 02to03h AEL	Emb@ 2-3h embryos?0	
1	11	http://www.ncbi.nlm.nih.gov/sra?term=SRX013011	Pupae|Pupae	Pup@ Pupae?0	
2	10	http://www.ncbi.nlm.nih.gov/sra?term=SRX336279	AdultFemale|AdultFemale	Adl@ Adult female?0	
10	10	http://www.ncbi.nlm.nih.gov/sra?term=SRX885697	Bloomington stock strain 9736|Drosophila embryo|Developmental Stage Embryo 12-24h	Emb@ 12-24h embryos?0	
10	10	http://www.ncbi.nlm.nih.gov/sra?term=SRX191916	S2 DRSC: Schneider's line 2|S2 cells	CeL@ S2?5	
10	10	http://www.ncbi.nlm.nih.gov/sra?term=SRX111798	iso1 (y; bw cn sp)|E16-24|E16-24	Emb@ 16-24h embryos?0	
1	10	http://www.ncbi.nlm.nih.gov/sra?term=SRX1144509	Ovaries|adult	Adl@ Ovary?0	
1	10	http://www.ncbi.nlm.nih.gov/sra?term=SRX113305	ISO1|E0-8|E0-8	Emb@ 0-8h embryos?0	
1	10	http://www.ncbi.nlm.nih.gov/sra?term=SRX025472	E0-8h|E0-8h	Emb@ 0-8h embryos?0	
