SRA	SRX	MGI	old	new	judge
69	775	http://www.ncbi.nlm.nih.gov/sra?term=SRX322301	NoCell	NoD@ NA?0	
196	196	http://www.ncbi.nlm.nih.gov/sra?term=SRX122577	C57BL/6|bone marrow|bone marrow-derived dendritic cells	Bld@ Dendritic Cells?3	
94	94	http://www.ncbi.nlm.nih.gov/sra?term=SRX352267	C57BL/6|Primary thioglycollate-elicited peritoneal macrophages|Macrophage	Bld@ Macrophages?3	
90	90	http://www.ncbi.nlm.nih.gov/sra?term=ERX534690	N/A|Lin- bone marrow cells|N/A|N/A|wt	Bld@ Bone Marrow Cells?3	
1	82	http://www.ncbi.nlm.nih.gov/sra?term=SRX810566	Immortalized MEF	EmF@ MEF?4	
72	72	http://www.ncbi.nlm.nih.gov/sra?term=SRX467561	MEL|Unknown|MEL|Leukemia (K562 analog)|Immortal cells	Bld@ MEL?4	
1	66	http://www.ncbi.nlm.nih.gov/sra?term=SRX597174	3T3L1|3T3L1	EmF@ 3T3-L1?2	
1	65	http://www.ncbi.nlm.nih.gov/sra?term=ERX240559	C57BL/6|liver|adult	Liv@ Liver?3	
63	63	http://www.ncbi.nlm.nih.gov/sra?term=SRX805979	C57BL/6|Primary bone marrow-derived macrophages (BMDM)|BMDM cells (7th day of differentiation)	Bld@ Macrophages?3	
63	63	http://www.ncbi.nlm.nih.gov/sra?term=SRX187271	Th17 in vitro|Th17	Bld@ Th17?0	
1	58	http://www.ncbi.nlm.nih.gov/sra?term=ERX112959	liver|hepatocyte	Liv@ Hepatocytes?3	
54	54	http://www.ncbi.nlm.nih.gov/sra?term=SRX028865	C57BL/6|Macrophages|Bone-marrow-derived macrophages	Bld@ Macrophages?3	
47	47	http://www.ncbi.nlm.nih.gov/sra?term=SRX143624	C2C12|C3H|C2C12|Myoblast cell line derived from thigh muscle of C3H mice after crush injury|Immortal cells	Myo@ C2C12?1	
47	47	http://www.ncbi.nlm.nih.gov/sra?term=SRX1057073	C57BL/6|Primary Cortical Neurons (E16.5  DIV8)|Primary Cortical Neurons|E16.5  DIV8	Neu@ Cortical neuron?0	
2	46	http://www.ncbi.nlm.nih.gov/sra?term=ERX931662	129P2/OlaHsd	PSC@ Embryonic Stem Cells?3	
45	45	http://www.ncbi.nlm.nih.gov/sra?term=ERX200442	Mammary epithelial cells|mammary gland|N/A|N/A|N/A	Brs@ Mammary glands?0	
2	45	http://www.ncbi.nlm.nih.gov/sra?term=SRX265306	liver	Liv@ Liver?3	
44	44	http://www.ncbi.nlm.nih.gov/sra?term=SRX366572	NIH/3T3 fibroblast cell line|NIH/3T3 Tet-On 3G cells	EmF@ NIH/3T3?1	
42	42	http://www.ncbi.nlm.nih.gov/sra?term=SRX392766	Haftl pre-B cells|haftl derived C10 cells	Bld@ HAFTL?0	
42	42	http://www.ncbi.nlm.nih.gov/sra?term=SRX191011	CH12|B10.H-2aH-4bp/Wts|CH12|B-cell lymphoma (GM12878 analog)|Immortal cells	Bld@ CH12?4	
41	41	http://www.ncbi.nlm.nih.gov/sra?term=SRX317693	ES cells|embryonic stem cells	PSC@ Embryonic Stem Cells?3	
41	41	http://www.ncbi.nlm.nih.gov/sra?term=SRX273261	murine primary activated B cells	Bld@ B-Lymphocytes?3	
40	40	http://www.ncbi.nlm.nih.gov/sra?term=SRX760033	embryonic stem cells|embryonic stem cells	PSC@ Embryonic Stem Cells?3	
40	40	http://www.ncbi.nlm.nih.gov/sra?term=SRX205968	C57BL/6|in vitro activated B cells|in vitro activated B cells	Bld@ B-Lymphocytes?3	
38	38	http://www.ncbi.nlm.nih.gov/sra?term=SRX680476	Heart|primary heart tissues	CDV@ Heart?3	
38	38	http://www.ncbi.nlm.nih.gov/sra?term=SRX671682	C57BL/6|DIV7 mCTX neurons|mouse cortical neurons	Neu@ Cortical neuron?0	
38	38	http://www.ncbi.nlm.nih.gov/sra?term=SRX471279	Leukemic bone marrow|bone marrow	Bld@ Leukemic bone marrow?0	
1	38	http://www.ncbi.nlm.nih.gov/sra?term=ERX190682	liver|adult|normal	Liv@ Liver?3	
9	37	http://www.ncbi.nlm.nih.gov/sra?term=ERX646137	Glia|Brain|Adult|N/A|wildtype	Neu@ Brain?3	
7	37	http://www.ncbi.nlm.nih.gov/sra?term=ERX221028	liver|adult	Liv@ Liver?3	
37	37	http://www.ncbi.nlm.nih.gov/sra?term=SRX244275	CD-1 (Charles River)|liver tissue|liver	Liv@ Liver?3	
37	37	http://www.ncbi.nlm.nih.gov/sra?term=SRX128095	C57BL/6|MEF|Fibroblasts from day 13.5 embryos immortalized with SV40-LTA	EmF@ MEF?4	
9	36	http://www.ncbi.nlm.nih.gov/sra?term=ERX646136	Neurons|Brain|Adult|N/A|wildtype	Neu@ Brain?3	
34	34	http://www.ncbi.nlm.nih.gov/sra?term=SRX209803	C57BL/6|NAc dissection from 3-5 animals|nucleus accumbens	Neu@ Nucleus Accumbens?3	
34	34	http://www.ncbi.nlm.nih.gov/sra?term=ERX245557	mouse ES cells|N/A|N/A|N/A|N/A	PSC@ Embryonic Stem Cells?3	
33	33	http://www.ncbi.nlm.nih.gov/sra?term=SRX823607	V6.5|ES cell culture|embryonic stem cell	PSC@ Embryonic Stem Cells?3	
32	32	http://www.ncbi.nlm.nih.gov/sra?term=SRX148823	C57BL/6|Pro-B|Bone Marrow	Bld@ B-Lymphocytes?3	
1	32	http://www.ncbi.nlm.nih.gov/sra?term=ERX040281	intestine|n/a	Dig@ Intestines?3	
31	31	http://www.ncbi.nlm.nih.gov/sra?term=SRX023723	Cd19-cre X Paxip flox/flox|mouse B cells|B cells|spleen	Bld@ B-Lymphocytes?3	
30	30	http://www.ncbi.nlm.nih.gov/sra?term=SRX800824	Brg1f/f; Actin-CreER|Differentiated embryonic stem cells	PSC@ mESCs, differentiated?0	
30	30	http://www.ncbi.nlm.nih.gov/sra?term=SRX213865	mixed 129/B6|lung|adenocarcinoma	Lng@ Lung adenocarcinoma?0	
30	30	http://www.ncbi.nlm.nih.gov/sra?term=SRX1022118	ESC|129/C57Bl/6|Embryonic stem cells	PSC@ Embryonic Stem Cells?3	
4	29	http://www.ncbi.nlm.nih.gov/sra?term=SRX403582	C57BL/6|Liver|Liver	Liv@ Liver?3	
29	29	http://www.ncbi.nlm.nih.gov/sra?term=SRX950641	back-crossed to the BALB/c|Liver tissue	Liv@ Liver?3	
29	29	http://www.ncbi.nlm.nih.gov/sra?term=SRX884095	C57BL/6|MLL-AF9/NrasG12D murine cell line|Acute myeloid leukemia	Bld@ MLL-AF9 leukemic cell?0	
28	28	http://www.ncbi.nlm.nih.gov/sra?term=SRX759475	C57BL/6|Hematopoietic stem cells (HSC)|Murine bone marrow derived primary HSCs|SP-KSL-CD150+	Bld@ Hematopoietic Stem Cells?3	
