SRA	SRX	MGI	old	new
67	736	http://www.ncbi.nlm.nih.gov/sra?term=SRX534899	NoCell	NoD@ NA?0
505	505	http://www.ncbi.nlm.nih.gov/sra?term=SRX543699	LoVo|LoVo|colon adenocarcinoma	Dig@ LoVo?1
3	359	http://www.ncbi.nlm.nih.gov/sra?term=ERX378033	H9 hESC line|N/A|N/A|N/A|N/A	PSC@ hESC H9?0
147	147	http://www.ncbi.nlm.nih.gov/sra?term=SRX190350	K562|K562|leukemia, The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. - ATCC|mesoderm	Bld@ K-562?1
11	80	http://www.ncbi.nlm.nih.gov/sra?term=SRX278101	K562	Bld@ K-562?1
2	77	http://www.ncbi.nlm.nih.gov/sra?term=ERX664188	B-Lymphocyte	Bld@ B-Lymphocytes?3
4	74	http://www.ncbi.nlm.nih.gov/sra?term=SRX475743	GM12878	Bld@ GM12878?4
4	73	http://www.ncbi.nlm.nih.gov/sra?term=SRX189984	HeLa-S3|HeLa-S3|cervical carcinoma|ectoderm	Utr@ HeLa?1
71	71	http://www.ncbi.nlm.nih.gov/sra?term=SRX105641	IMR90|Cell Line|NA|None|Fetal lung fibroblast	Lng@ IMR-90?1
69	69	http://www.ncbi.nlm.nih.gov/sra?term=SRX091643	lymphoblastoid cell line|lymphoblastoid cell line	Bld@ Lymphoblastoid cell line?4
67	67	http://www.ncbi.nlm.nih.gov/sra?term=SRX329098	IMR90|IMR90 Human Diploid Fibroblasts	Lng@ IMR-90?1
64	64	http://www.ncbi.nlm.nih.gov/sra?term=SRX322086	H1|Cell Line|Embryonic Stem Cell|None|None	PSC@ hESC H1?0
60	60	http://www.ncbi.nlm.nih.gov/sra?term=SRX190323	GM12878|GM12878|B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus|mesoderm	Bld@ GM12878?4
55	55	http://www.ncbi.nlm.nih.gov/sra?term=SRX129877	H9|Cell Line|Embryonic Stem Cell|None|None	PSC@ hESC H9?0
55	55	http://www.ncbi.nlm.nih.gov/sra?term=ERX371718	Mammary Epithelial|Mammary gland|N/A|N/A|Cancer	Brs@ T-47D?1
54	54	http://www.ncbi.nlm.nih.gov/sra?term=SRX157636	H1|Cell Line|Embryonic Stem Cell|None|Embryonic stem cell differentiated into trophoblast by treatment with BMP4	PSC@ hESC derived trophoblast cells?0
4	52	http://www.ncbi.nlm.nih.gov/sra?term=SRX190198	H1-hESC	PSC@ hESC H1?0
1	52	http://www.ncbi.nlm.nih.gov/sra?term=SRX701959	HUES64|HUES64|HUES64	PSC@ hESC HUES64?0
51	51	http://www.ncbi.nlm.nih.gov/sra?term=SRX722395	RAMOS|Burkitt's lymphoma cell line	Bld@ RAMOS?1
3	49	http://www.ncbi.nlm.nih.gov/sra?term=SRX190270	HepG2|HepG2|hepatocellular carcinoma|endoderm	Liv@ Hep G2?1
2	48	http://www.ncbi.nlm.nih.gov/sra?term=SRX190175	A549	Lng@ A549?1
5	46	http://www.ncbi.nlm.nih.gov/sra?term=SRX102983	HepG2|hepatocellular carcinoma	Liv@ Hep G2?1
