1182-4H	D mel	mh	-	embryonic stage
CCa	D mel	-	-	embryonic stage
CME-L1	D mel	-	prothoracic leg disc	third instar larval stage
CME-L1A	D mel	-	prothoracic leg disc	third instar larval stage
CME-L2	D mel	-	prothoracic leg disc	third instar larval stage
CME-W1-Cl.8+	D mel	-	wing disc	third instar larval stage
CME-W1-Cl.8R	D mel	-	wing disc	third instar larval stage
CME-W1	D mel	-	wing disc	third instar larval stage
CME-W2	D mel	-	wing disc	third instar larval stage
D	D mel	mh	-	embryonic stage
D1	D mel	-	-	embryonic stage
DeltaWTNdeMYC	D mel	-	-	late embryonic stage
DH-33	D hyd	-	-	embryonic stage
DM	D mel	-	-	embryonic stage
DX	D mel	-	-	embryonic stage
E-Adh-n1	D mel	Adh[n1]	-	embryonic stage
E-CS	D mel	Canton S	-	embryonic stage
E-E12[ts]-mal[1]	D mel	E12[ts] mal[1]	-	embryonic stage
E-FM1	D mel	FM1	-	embryonic stage
E-mal[1]	D mel	mal[1]	-	embryonic stage
E-mal[F3]	D mel	mal[F3]	-	embryonic stage
E-OR	D mel	Oregon R	-	embryonic stage
E-r[1]	D mel	r[1]	-	embryonic stage
E-r[36]	D mel	r[36]	-	embryonic stage
EH34A3	D mel	E12[ts] shi[ts]	-	embryonic stage
fGS/OSS	D mel	w[1118]; P{hs-bam.O}11d bam[Δ86] ry[506] e[1]/bam[Δ86] P{ovo-lacZ.M}3.1 P{vas[T:GFP]}3.1	ovary	adult stage
G1	D mel	-	-	embryonic stage
G2	D mel	-	-	embryonic stage
GM2	D mel	-	-	embryonic stage
GM3	D mel	-	-	embryonic stage
Jupiter	D mel	jupiter:gfp exon trap	-	embryonic stage
Kc	D mel	e/se	-	dorsal closure stage
Kc7E10	D mel	e/se	-	dorsal closure stage
Kc167	D mel	e/se	-	dorsal closure stage
L57-3-11	D mel	-	-	dorsal closure stage
L127D6	D mel	-	prothoracic leg disc	third instar larval stage
mbn2	D mel	l(2)mbn	-	larval stage
MCW12	D mel	-	wing disc	third instar larval stage
MCW23	D mel	-	wing disc	third instar larval stage
MDR3	D mel	-	-	dorsal closure stage
ML-DmBG1-c1	D mel	y[1] v[1] f[1] mal[F1]	central nervous system	third instar larval stage
ML-DmBG1	D mel	y[1] v[1] f[1] mal[F1]	central nervous system	third instar larval stage
ML-DmBG2-c1	D mel	y[1] v[1] f[1] mal[F1]	central nervous system	third instar larval stage
ML-DmBG2-c2	D mel	y[1] v[1] f[1] mal[F1]	central nervous system	third instar larval stage
ML-DmBG2-c3	D mel	y[1] v[1] f[1] mal[F1]	central nervous system	third instar larval stage
ML-DmBG2-c4	D mel	y[1] v[1] f[1] mal[F1]	central nervous system	third instar larval stage
ML-DmBG2-c5	D mel	y[1] v[1] f[1] mal[F1]	central nervous system	third instar larval stage
ML-DmBG2-c6	D mel	y[1] v[1] f[1] mal[F1]	central nervous system	third instar larval stage
ML-DmBG2-c8	D mel	y[1] v[1] f[1] mal[F1]	central nervous system	third instar larval stage
ML-DmBG2-c10	D mel	y[1] v[1] f[1] mal[F1]	central nervous system	third instar larval stage
ML-DmBG2-c11	D mel	y[1] v[1] f[1] mal[F1]	central nervous system	third instar larval stage
