81.3	81.3	Homo sapiens	Blood		Normal	Unknown	Unknown	Unknown	Unknown	Unknown	85100105	ECACC	 --	 --
90.74	90.74	Homo sapiens	Kidney		Normal	Unknown	Unknown	Unknown	Unknown	Unknown	CRL-11654	ATCC	293, 90.74, 293 c18, 293/CrmA, 293/SF, 293gp, 293T, 293T GNE, 293T/17, 2A, 2V6.11 [JHU-67], HEK 293S GnTI-, HKb20, PEAKrapid, ProPak-A.52 Clone #5, ProPak-X.36, SODK1, WSS-1, 293 EcR Shh, 293 SUS, 293/CHE-Fc, GFPu-1, HEK-293.2 sus, ProPakA.6, ANJOU 65	 --
293	293	Homo sapiens	Kidney		Normal	Unknown	Unknown	Unknown	Unknown	Unknown	CRL-1573	ATCC	293, 90.74, 293 c18, 293/CrmA, 293/SF, 293gp, 293T, 293T GNE, 293T/17, 2A, 2V6.11 [JHU-67], HEK 293S GnTI-, HKb20, PEAKrapid, ProPak-A.52 Clone #5, ProPak-X.36, SODK1, WSS-1, 293 EcR Shh, 293 SUS, 293/CHE-Fc, GFPu-1, HEK-293.2 sus, ProPakA.6, ANJOU 65	 --
380	380	Homo sapiens	Blood		Leukemia Acute Lymphocytic	Male	Unknown	15	Years	Juvenile	ACC 39	DSMZ	 --	 --
633	A549	Homo sapiens	Lung		Carcinoma	Male	Caucasian	58	Years	Adult	RCB2352	RIKEN	633, A549, A549SF, JHU028	 --
697	697	Homo sapiens	Blood		Leukemia Acute Lymphocytic	Male	Unknown	12	Years	Juvenile	ACC 42	DSMZ	 --	 --
1184	1184	Homo sapiens	Skin		Normal	Unknown	Unknown	Unknown	Unknown	Unknown	90011883	ECACC	 --	 --
1221	1221	Homo sapiens	Skin		Normal	Unknown	Unknown	Unknown	Unknown	Unknown	90011873	ECACC	 --	 --
1301	1301	Homo sapiens	Blood		Leukemia	Female	Caucasian	4	Years	Juvenile	01051619	ECACC	1301, 6T-CEM, CCRF-CEM, CEM/C1, CEM/C2, AG-F, CO, EU-7, MKB-1, RC-2A, UTMB-460, WSU-ALCL	 --
1306	1306	Homo sapiens	Skin		Normal	Unknown	Unknown	Unknown	Unknown	Unknown	90011887	ECACC	 --	 --
