CRL-3210	Eph4 1424.2	Mus musculus	Epithelial	Breast Cancer	Breast; Derived From Metastatic Site: Lung
CRL-3211	PSN-1	Homo sapiens	Epithelial	Adenocarcinoma	Pancreas
CRL-3212	2A3	Homo sapiens		Squamous Cell Carcinoma	Pharynx
CRL-3213	Phoenix-AMPHO	Homo sapiens			Kidney
CRL-3214	Phoenix-ECO	Homo sapiens			Kidney
CRL-3215	Phoenix-GP	Homo sapiens	Embryonic		Kidney
CRL-3216	293T	Homo sapiens	Epithelial		Embryonic Kidney
CRL-3217	U-CH1	Homo sapiens		Tumor, Chordoma	Sacral Bone
CRL-3218	U-CH2	Homo sapiens		Tumor, Chordoma	Sacral Bone
CRL-3219	MUG-Chor1	Homo sapiens		Tumor, Chordoma	Sacral Bone
CRL-3222	A375-MA1	Homo sapiens		Malignant Melanoma	Skin
CRL-3223	A375-MA2	Homo sapiens		Malignant Melanoma	Skin
CRL-12103	FDC-P1	Mus musculus		Normal	Bone Marrow
CRL-3242	3T3-L1 MBX	Mus musculus	Fibroblast		Embryo
CRL-3243	HMEC-1	Homo sapiens	Dermal Microvascular Endothelium		Dermal Endothelium
CRL-3244	HULEC-5a	Homo sapiens	Endothelial		Lung
CRL-3245	HBEC-5i	Homo sapiens	Cerebral Microvascular Endothelium	Normal	Brain, Cerebral Cortex
CRL-1902	UACC-893	Homo sapiens		Primary Ductal Carcinoma	Mammary Gland; Breast
CRL-3254	STC-1	Mus musculus	Intestinal Neuroendocrine Tumor Cells	Invasive Small Intestinal Neuroendocrine Carcinoma	Intestine
CRL-1915	DHFR-G8	Mus musculus	Fibroblast		
CRL-1918	CFPAC-1	Homo sapiens	Epithelial	Ductal Adenocarcinoma; Cystic Fibrosis	Pancreas; Derived From Metastatic: Liver
CRL-1923	Ramos.2G6.4C10	Homo sapiens	B Lymphocyte	Burkitt's Lymphoma (American)	
CRL-1927	SV40 MES 13	Mus musculus	Mesangial Cell		Kidney/Glomerulus
CRL-1929	SUP-B15	Homo sapiens	B Lymphoblast	Acute Lymphoblastic Leukemia	Bone Marrow
CRL-1932	786-O [786-0]	Homo sapiens		Renal Cell Adenocarcinoma	Kidney
CRL-1933	769-P	Homo sapiens		Renal Cell Adenocarcinoma	Kidney
CRL-1934	ES-D3 [D3]	Mus musculus	Embryonic Multipotent Stem Cell		Embryo
