A1BG	alpha-1-B glycoprotein
A1CF	ACF|ASP|ACF64|ACF65|APOBEC1CF|APOBEC1 complementation factor
A2M	FWP007|S863-7|CPAMD5|alpha-2-macroglobulin
A2ML1	FLJ25179|alpha-2-macroglobulin-like 1
A3GALT2	IGBS3S|alpha 1,3-galactosyltransferase 2
A4GALT	A14GALT|Gb3S|P(k)|alpha 1,4-galactosyltransferase
A4GNT	alpha4GnT|alpha-1,4-N-acetylglucosaminyltransferase
AAAS	achalasia, adrenocortical insufficiency, alacrimia
AACS	FLJ12389|SUR-5|ACSF1|acetoacetyl-CoA synthetase
AADAC	DAC|CES5A1|arylacetamide deacetylase
AADACL2	MGC72001|arylacetamide deacetylase-like 2
AADACL3	OTTHUMG00000001887|arylacetamide deacetylase-like 3
AADACL4	OTTHUMG00000001889|arylacetamide deacetylase-like 4
AADAT	KATII|KAT2|aminoadipate aminotransferase
AAED1	AhpC/TSA antioxidant enzyme domain containing 1
AAGAB	FLJ11506|p34|alpha- and gamma-adaptin binding protein
AAK1	KIAA1048|DKFZp686K16132|AP2 associated kinase 1
AAMDC	PTD015|FLJ21035|CK067|adipogenesis associated, Mth938 domain containing
AAMP	angio-associated migratory cell protein
AANAT	SNAT|aralkylamine N-acetyltransferase
AAR2	bA234K24.2|AAR2 splicing factor homolog
AARD	LOC441376|alanine and arginine rich domain containing protein
AARS	CMT2N|alanyl-tRNA synthetase
AARS2	KIAA1270|bA444E17.1|alanyl-tRNA synthetase 2, mitochondrial
AARSD1	MGC2744|alanyl-tRNA synthetase domain containing 1
AASDH	NRPS998|LYS2|ACSF4|aminoadipate-semialdehyde dehydrogenase
AASDHPPT	LYS5|CGI-80|AASD-PPT|aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS	LORSDH|LKRSDH|aminoadipate-semialdehyde synthase
AATF	DED|CHE-1|CHE1|BFR2|apoptosis antagonizing transcription factor
AATK	AATYK|KIAA0641|LMTK1|LMR1|AATYK1|PPP1R77|apoptosis-associated tyrosine kinase
ABAT	GABAT|4-aminobutyrate aminotransferase
ABCA1	TGD|ATP-binding cassette, sub-family A (ABC1), member 1
ABCA10	EST698739|ATP-binding cassette, sub-family A (ABC1), member 10
ABCA12	DKFZP434G232|LI2|ATP-binding cassette, sub-family A (ABC1), member 12
ABCA13	FLJ33876|FLJ33951|ATP-binding cassette, sub-family A (ABC1), member 13
ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2
ABCA3	ABC-C|EST111653|LBM180|ATP-binding cassette, sub-family A (ABC1), member 3
ABCA4	FFM|ARMD2|CORD3|ATP-binding cassette, sub-family A (ABC1), member 4
ABCA5	EST90625|ATP-binding cassette, sub-family A (ABC1), member 5
ABCA6	EST155051|ATP-binding cassette, sub-family A (ABC1), member 6
ABCA7	ABCX|ATP-binding cassette, sub-family A (ABC1), member 7
ABCA8	KIAA0822|ATP-binding cassette, sub-family A (ABC1), member 8
ABCA9	EST640918|ATP-binding cassette, sub-family A (ABC1), member 9
ABCB1	P-gp|CD243|GP170|ABC20|ATP-binding cassette, sub-family B (MDR/TAP), member 1
ABCB10	EST20237|M-ABC2|MTABC2|ATP-binding cassette, sub-family B (MDR/TAP), member 10
ABCB11	ABC16|SPGP|PFIC-2|PGY4|ATP-binding cassette, sub-family B (MDR/TAP), member 11
ABCB4	MDR2|PFIC-3|GBD1|ATP-binding cassette, sub-family B (MDR/TAP), member 4
ABCB5	EST422562|ABCB5beta|ABCB5alpha|ATP-binding cassette, sub-family B (MDR/TAP), member 5
ABCB6	EST45597|umat|MTABC3|ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)
ABCB7	EST140535|Atm1p|ASAT|ATP-binding cassette, sub-family B (MDR/TAP), member 7
ABCB8	EST328128|M-ABC1|MABC1|ATP-binding cassette, sub-family B (MDR/TAP), member 8
ABCB9	EST122234|ATP-binding cassette, sub-family B (MDR/TAP), member 9
ABCC1	GS-X|ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC10	EST182763|MRP7|SIMRP7|ATP-binding cassette, sub-family C (CFTR/MRP), member 10
ABCC11	MRP8|ATP-binding cassette, sub-family C (CFTR/MRP), member 11
ABCC12	MRP9|ATP-binding cassette, sub-family C (CFTR/MRP), member 12
ABCC2	DJS|MRP2|cMRP|ATP-binding cassette, sub-family C (CFTR/MRP), member 2
ABCC3	MRP3|cMOAT2|EST90757|MLP2|MOAT-D|ATP-binding cassette, sub-family C (CFTR/MRP), member 3
ABCC4	MRP4|EST170205|MOAT-B|MOATB|ATP-binding cassette, sub-family C (CFTR/MRP), member 4
ABCC5	MRP5|SMRP|EST277145|MOAT-C|ATP-binding cassette, sub-family C (CFTR/MRP), member 5
ABCC6	MRP6|EST349056|MLP1|URG7|ATP-binding cassette, sub-family C (CFTR/MRP), member 6
ABCC8	HI|PHHI|SUR1|MRP8|ABC36|HHF1|TNDM2|ATP-binding cassette, sub-family C (CFTR/MRP), member 8
ABCC9	SUR2|CMD1O|ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCD1	AMN|ALDP|adrenoleukodystrophy|ATP-binding cassette, sub-family D (ALD), member 1
ABCD2	ALDR|ALDRP|ATP-binding cassette, sub-family D (ALD), member 2
ABCD3	PMP70|ZWS2|ATP-binding cassette, sub-family D (ALD), member 3
ABCD4	PMP69|P70R|EST352188|ATP-binding cassette, sub-family D (ALD), member 4
ABCE1	RLI|OABP|ATP-binding cassette, sub-family E (OABP), member 1
ABCF1	EST123147|ATP-binding cassette, sub-family F (GCN20), member 1
ABCF2	EST133090|ABC28|M-ABC1|HUSSY-18|ATP-binding cassette, sub-family F (GCN20), member 2
ABCF3	EST201864|ATP-binding cassette, sub-family F (GCN20), member 3
ABCG1	ABC8|ATP-binding cassette, sub-family G (WHITE), member 1
ABCG2	EST157481|MXR|BCRP|ABCP|CD338|ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)
ABCG4	WHITE2|ATP-binding cassette, sub-family G (WHITE), member 4
ABCG5	STSL|ATP-binding cassette, sub-family G (WHITE), member 5
ABCG8	GBD4|ATP-binding cassette, sub-family G (WHITE), member 8
ABHD1	LABH1|FLJ36128|abhydrolase domain containing 1
ABHD10	FLJ11342|abhydrolase domain containing 10
ABHD11	PP1226|abhydrolase domain containing 11
ABHD12	DKFZP434P106|dJ965G21.2|BEM46L2|ABHD12A|abhydrolase domain containing 12
ABHD12B	BEM46L3|abhydrolase domain containing 12B
ABHD13	bA153I24.2|FLJ14906|BEM46L1|abhydrolase domain containing 13
ABHD14A	DKFZP564O243|DORZ1|abhydrolase domain containing 14A
ABHD14B	MGC15429|CIB|abhydrolase domain containing 14B
ABHD15	abhydrolase domain containing 15
ABHD16A	NG26|D6S82E|abhydrolase domain containing 16A
ABHD16B	dJ591C20.1|abhydrolase domain containing 16B
ABHD17A	MGC5244|abhydrolase domain containing 17A
ABHD17B	CGI-67|abhydrolase domain containing 17B
ABHD17C	abhydrolase domain containing 17C
ABHD18	FLJ21106|abhydrolase domain containing 18
ABHD2	LABH2|abhydrolase domain containing 2
ABHD3	LABH3|abhydrolase domain containing 3
ABHD4	FLJ12816|abhydrolase domain containing 4
ABHD5	CGI-58|NCIE2|abhydrolase domain containing 5
ABHD6	abhydrolase domain containing 6
ABHD8	FLJ11743|MGC14280|MGC2512|abhydrolase domain containing 8
ABI1	E3B1|ABI-1|abl-interactor 1
ABI2	ABI-2|AIP-1|ABI2B|AblBP3|argBPIA|SSH3BP2|abl-interactor 2
ABI3	NESH|SSH3BP3|ABI family, member 3
ABI3BP	NESHBP|DKFZP586L2024|TARSH|ABI family, member 3 (NESH) binding protein
ABL1	JTK7|c-ABL|p150|ABL proto-oncogene 1, non-receptor tyrosine kinase
ABL2	ARG|ABL proto-oncogene 2, non-receptor tyrosine kinase
ABLIM1	abLIM|limatin|actin binding LIM protein 1
ABLIM2	KIAA1808|actin binding LIM protein family, member 2
ABLIM3	KIAA0843|actin binding LIM protein family, member 3
ABO	A3GALNT|A3GALT1|ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)
ABR	MDB|active BCR-related
ABRA	STARS|actin binding Rho activating protein
ABRACL	PRO2013|HSPC280|Costars|ABRA C-terminal like
ABT1	activator of basal transcription 1
ABTB1	BPOZ|EF1ABP|Btb3|BTBD21|ankyrin repeat and BTB (POZ) domain containing 1
ABTB2	DKFZP586C1619|BTBD22|ABTB2A|ankyrin repeat and BTB (POZ) domain containing 2
ACAA1	acetyl-CoA acyltransferase 1
ACAA2	DSAEC|acetyl-CoA acyltransferase 2
ACACA	ACC1|acetyl-CoA carboxylase alpha
ACACB	HACC275|ACC2|ACCB|acetyl-CoA carboxylase beta
ACAD10	MGC5601|acyl-CoA dehydrogenase family, member 10
ACAD11	FLJ12592|acyl-CoA dehydrogenase family, member 11
