064Ya	064Ya
1.1.3	1.1.3
10-4	10-4
1038	1038
106y	106y
107.1	107.1
11	#1|11
11.158	
12.167	
12.19	
12.82	
12.95	
128up	GTP-bp|X71866|CG8340|Gtp-bp|upstream of RpIII128
1297	1297
14-3-3epsilon	14-3-3omicron|EK3-5|D14-3-3epsilon|CT24092|Su(Raf)3B|14-3-3EPSILON|14-3-3e|14-3-3-epsilon|par-5|PAR5|14.3.3 epsilon|143E_DROME|14-3-3epsilon|e-14-3-3|CG31196|14-3-3 epsilon|d14-3-3epsilon|anon-WO02059370.52|D14-3-3e|l(3)j2B10|PAR-5|Par-5|14-3-30epsilon|14-3-3-e|14-3-3|anon-WO0172774.141|eps|1433epsilon|SR3-9|14-3-3epsilon
14-3-3zeta	14-3-3zeta|K|14-3-3-zeta|par-5|BEST:GH05075|leo|PAR5|l(2)46Ee|14-3-3 zeta|l(2)07103|14-3-3leo|d14-3-3zeta|LEO|2G1|Leo|D14-3-3zeta|5.11|549|PAR-5|Par-5|D14-3-3|14-3-3-Leo|CG17870|4-3-3 zeta|l(2)46CFe|14-3-3ZETA|14-3-3|14-3-3zeta
140up	DmRP140up|l(3)Z6|CG9852|DmRP140-upstream|l(3)88Ba|upstream of RpII140
144Y	
146y	146y
1577	1577
161Y	
1688-10Ea	1.688|1688-10E[d]|1.688 satellite-related 10Ea
1688-10Eb	1688-10E[p]|1.688|1.688 satellite-related 10Eb
1688-11EF	1.688|1.688 satellite-related 11EF
1688-2E	1688-2E
1688-3C	1.688|1.688 satellite-related 3C
18.94	
188y	188y
18SrRNA	18S|18S rDNA|18S rRNA|BEST:SD07466|BEST:GH11893|18s rRNA|18 S rRNA|18SRNA|BEST:LD33742|NEST:bs01c01|BEST:LD10585|BEST:LP07011|18S RNA|BEST:GH15369|CR40959|18SrRNA
18SrRNA-Psi:CR41602	CR41602|18S ribosomal RNA pseudogene:CR41602
18SrRNA-Psi:CR45861	CR45861|18S ribosomal RNA pseudogene:CR45861
18SrRNA:CR40456	CR40456|18SrRNA:CR40456
18SrRNA:CR41548	CR41548|18S ribosomal RNA:CR41548
18SrRNA:CR45838	CR45838|18S ribosomal RNA:CR45838
18SrRNA:CR45841	CR45841|18S ribosomal RNA:CR45841
18w	toll|18-wheeler|18W|tlr|l(2)00053|CT25100|CG8896|18-w|Toll-2|18 wheeler
18w::Tl	18w::Tl
19	#19|19
194-26	194-26
19w	19w
1A-RE	1A regulatory element
2-10	
2.1	2.1
2.1.72	2.1.72
2.14.98	2.14.98
2.15.43a	2.15.43a
2.15.50	2.15.50
2.2.2	2.2.2
2.3.26	2.3.26
20-51	20-51
2033	2033
21.28	
22F2	
22M2	
22w	22w
2335	2335
233y-a	233y|233y-a
24D1	24D1
26-29-p	l(3)s3635|26/29kD-proteinase|CG8947|anon-SAGE:Wang-123|26-29kD-proteinase
26D19	26D19
27-25	27-25
28SrRNA	BEST:HL02093|NEST:bs30g02|NEST:bs10c09|Mgn570|28S rDNA|BEST:HL03427|28SRNA|28S rRNA|28s rRNA|28S RNA|BEST:LD41653|28S DNA|NEST:bs15g08|28S|NEST:bs17g11|BEST:HL02977|28SrRNA
28SrRNA-Psi:CR40596	CR40596|28S ribosomal RNA pseudogene:CR40596
28SrRNA-Psi:CR40741	CR40741|28S ribosomal RNA pseudogene:CR40741
28SrRNA-Psi:CR41609	CR41609|28S ribosomal RNA pseudogene:CR41609
28SrRNA-Psi:CR45848	CR45848|28S ribosomal RNA pseudogene:CR45848
28SrRNA-Psi:CR45851	CR45851|28S ribosomal RNA pseudogene:CR45851
28SrRNA-Psi:CR45853	CR45853|28S ribosomal RNA pseudogene:CR45853
28SrRNA-Psi:CR45855	CR45855|28S ribosomal RNA pseudogene:CR45855
28SrRNA-Psi:CR45859	CR45859|28S ribosomal RNA pseudogene:CR45859
28SrRNA-Psi:CR45860	CR45860|28S ribosomal RNA pseudogene:CR45860
28SrRNA-Psi:CR45862	CR45862|28S ribosomal RNA pseudogene:CR45862
28SrRNA:CR40459	CR40459|28SrRNA:CR40459
28SrRNA:CR45837	CR45837|28S ribosomal RNA:CR45837
28SrRNA:CR45844	CR45844|28S ribosomal RNA:CR45844
29B70	29B70
2Ab17	p2Ab17|2Ab17
2D5	2D5
2F26	2F26
2L-144-32	2L-144-32
2L-250-35	2L-250-35
2L-311-30	2L-311-30
2L-393-17	2L-393-17
2L0028	
2L0058	
2L0128	
2L0196	
2L0372	
2L0419	
2L0439	
2L0445	
2L0944	
2L0948	
2L1281	
2L1296	
2L1360	
2L1506	
2L1540	
2L1554	
2L1561	
2L1629	
2L1663	
2L1668	
2L1682	
2L1683	
2L1685	
2L1687	
2L1693	
2L1710	
2L1738	
2L1748	
2L1749	
2L1794	
2L1809	
2L1923	
2L2084	
2L2181	
2L2218	
2L2269	
2L2366	
2L2416	
2L2436	
2L2468	
2L2475	
2L2526	
2L2572	
2L2615	
2L2648	
2L2653	
2L2676	
2L2677	
2L2686	
2L2718	
2L2769	
2L2775	
2L2798	
2L2806	
2L2816	
2L2828	
2L2834	
2L2845	
2L2853	
2L2870	
2L2921	
2L2938	
2L2944	
2L2953	
2L2983	
2L2985	
2L3011	
2L3047	
2L3064	
2L3073	
2L3081	
2L3090	
2L3120	
2L3179	
2L3186	
2L3189	
2L3191	
2L3193	
2L3194	
2L3244	
2L3267	
2L3298	
2L3301	
