0610007P14Rik	ORF11|RIKEN cDNA 0610007P14 gene
0610009B22Rik	RIKEN cDNA 0610009B22 gene
0610009L18Rik	RIKEN cDNA 0610009L18 gene
0610009O20Rik	RIKEN cDNA 0610009O20 gene
0610010F05Rik	RIKEN cDNA 0610010F05 gene
0610010K14Rik	RIKEN cDNA 0610010K14 gene
0610011F06Rik	RIKEN cDNA 0610011F06 gene
0610012G03Rik	RIKEN cDNA 0610012G03 gene
0610030E20Rik	RIKEN cDNA 0610030E20 gene
0610037L13Rik	RIKEN cDNA 0610037L13 gene
0610040J01Rik	RIKEN cDNA 0610040J01 gene
1110001J03Rik	Fmc1|RIKEN cDNA 1110001J03 gene
1110002E22Rik	RIKEN cDNA 1110002E22 gene
1110004E09Rik	RIKEN cDNA 1110004E09 gene
1110004F10Rik	sid2057|RIKEN cDNA 1110004F10 gene
1110007C09Rik	RIKEN cDNA 1110007C09 gene
1110008F13Rik	RIKEN cDNA 1110008F13 gene
1110008L16Rik	RIKEN cDNA 1110008L16 gene
1110008P14Rik	C79326|RIKEN cDNA 1110008P14 gene
1110012L19Rik	RIKEN cDNA 1110012L19 gene
1110017D15Rik	Smrp1|Cbe1|RIKEN cDNA 1110017D15 gene
1110025L11Rik	RIKEN cDNA 1110025L11 gene
1110032A03Rik	RIKEN cDNA 1110032A03 gene
1110032F04Rik	RIKEN cDNA 1110032F04 gene
1110034G24Rik	RIKEN cDNA 1110034G24 gene
1110037F02Rik	RIKEN cDNA 1110037F02 gene
1110038F14Rik	RIKEN cDNA 1110038F14 gene
1110051M20Rik	RIKEN cDNA 1110051M20 gene
1110057P08Rik	RIKEN cDNA 1110057P08 gene
1110059E24Rik	RIKEN cDNA 1110059E24 gene
1110059G10Rik	RIKEN cDNA 1110059G10 gene
1110065P20Rik	RIKEN cDNA 1110065P20 gene
1190002N15Rik	GoPro49|RIKEN cDNA 1190002N15 gene
1190005I06Rik	RIKEN cDNA 1190005I06 gene
1190007I07Rik	RIKEN cDNA 1190007I07 gene
1200014J11Rik	RIKEN cDNA 1200014J11 gene
1300017J02Rik	mICA|RIKEN cDNA 1300017J02 gene
1500009C09Rik	RIKEN cDNA 1500009C09 gene
1500009L16Rik	RIKEN cDNA 1500009L16 gene
1500011B03Rik	RIKEN cDNA 1500011B03 gene
1500011K16Rik	RIKEN cDNA 1500011K16 gene
1500015O10Rik	Ecrg4|RIKEN cDNA 1500015O10 gene
1520401A03Rik	RIKEN cDNA 1520401A03 gene
1600002H07Rik	RIKEN cDNA 1600002H07 gene
1600002K03Rik	RIKEN cDNA 1600002K03 gene
1600012H06Rik	RIKEN cDNA 1600012H06 gene
1600014C10Rik	RIKEN cDNA 1600014C10 gene
1600014C23Rik	RIKEN cDNA 1600014C23 gene
1600015I10Rik	RIKEN cDNA 1600015I10 gene
1700001C02Rik	RIKEN cDNA 1700001C02 gene
1700001C19Rik	RIKEN cDNA 1700001C19 gene
1700001F09Rik	RIKEN cDNA 1700001F09 gene
1700001J03Rik	RIKEN cDNA 1700001J03 gene
1700001K19Rik	RIKEN cDNA 1700001K19 gene
1700001L19Rik	RIKEN cDNA 1700001L19 gene
1700001O22Rik	RIKEN cDNA 1700001O22 gene
1700001P01Rik	RIKEN cDNA 1700001P01 gene
1700003E16Rik	RIKEN cDNA 1700003E16 gene
1700003F12Rik	RIKEN cDNA 1700003F12 gene
1700003H04Rik	RIKEN cDNA 1700003H04 gene
1700003M02Rik	RIKEN cDNA 1700003M02 gene
1700006A11Rik	RIKEN cDNA 1700006A11 gene
1700006E09Rik	RIKEN cDNA 1700006E09 gene
1700007B14Rik	RIKEN cDNA 1700007B14 gene
1700007G11Rik	RIKEN cDNA 1700007G11 gene
1700007K09Rik	RIKEN cDNA 1700007K09 gene
1700007K13Rik	RIKEN cDNA 1700007K13 gene
