AAC1	ADP/ATP carrier protein AAC1|ADP/ATP Carrier
AAC3	ADP/ATP carrier protein AAC3 ANC3|ADP/ATP Carrier
AAD10	putative aryl-alcohol dehydrogenase|Aryl-Alcohol Dehydrogenase
AAD14	Aryl-Alcohol Dehydrogenase
AAD15	putative aryl-alcohol dehydrogenase|Aryl-Alcohol Dehydrogenase
AAD3	Aryl-Alcohol Dehydrogenase
AAD4	Aryl-Alcohol Dehydrogenase
AAH1	adenine deaminase|Adenine AminoHydrolase
AAP1	AAP1'|Arginine/alanine AminoPeptidase
AAR2	U5 snRNP complex subunit AAR2|A1-Alpha2 Repression
AAT1	aspartate transaminase AAT1|Aspartate AminoTransferase
AAT2	ASP5 aspartate transaminase AAT2|Aspartate AminoTransferase
ABD1	mRNA (guanine-N7)-methyltransferase
ABF1	OBF1 REB2 SBF1 SBF-B DNA-binding protein ABF1 BAF1|ARS-Binding Factor 1
ABF2	DNA-binding protein ABF2 p19 HM mtTFA|ARS-Binding Factor
ABM1	Aberrant Microtubules
ABP1	Actin Binding Protein
ABP140	YOR240W TRM140|Actin Binding Protein
ABZ1	4-amino-4-deoxychorismate synthase|para-AminoBenZoic acid (PABA) biosynthesis
ABZ2	aminodeoxychorismate lyase ABZ2|para-AminoBenZoic acid (PABA) biosynthesis
ACA1	ATF/CREB Activator
ACB1	long-chain fatty acid transporter ACB1|Acyl-CoA-Binding
ACC1	acetyl-CoA carboxylase ACC1 ABP2 MTR7 FAS3|Acetyl-CoA Carboxylase
ACE2	DNA-binding transcription factor ACE2|Activator of CUP1 Expression
ACF2	ENG2 PCA1|Assembly Complementing Factor
ACF4	Assembly Complementing Factor
ACH1	Acetyl CoA Hydrolase
ACK1	Activator of C Kinase 1
ACL4	Assembly Chaperone of RpL4
ACM1	APC/C[Cdh1] Modulator
ACO1	aconitate hydratase ACO1 GLU1|ACOnitase
ACO2	aconitate hydratase ACO2|ACOnitase
ACP1	acyl carrier protein|Acyl Carrier Protein
ACS1	FUN44 acetate--CoA ligase 1|Acetyl CoA Synthetase
ACS2	acetate--CoA ligase ACS2|Acetyl CoA Synthetase
ACT1	actin END7 ABY1|ACTin
ADA2	SWI8 chromatin-binding transcription regulator ADA2|transcriptional ADAptor
ADD37	Alpha1-proteinase inhibitor-Degradation Deficient
ADD66	PBA2 POC2|Alpha1-proteinase inhibitor-Degradation Deficient
ADE1	phosphoribosylaminoimidazolesuccinocarboxamide synthase|ADEnine requiring
ADE12	BRA9 adenylosuccinate synthase|ADEnine requiring
ADE13	BRA1 BRA8 adenylosuccinase ADE13|ADEnine requiring
ADE16	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase ADE16|ADEnine
ADE17	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase ADE17|ADEnine
ADE2	phosphoribosylaminoimidazole carboxylase ADE2|ADEnine requiring
ADE3	trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase ADE3|ADEnine requiring
ADE4	amidophosphoribosyltransferase|ADEnine requiring
ADE5,7	bifunctional aminoimidazole ribotide synthase/glycinamide ribotide synthase|ADEnine requiring
ADE6	phosphoribosylformylglycinamidine synthase|ADEnine requiring
ADE8	phosphoribosylglycinamide formyltransferase|ADEnine requiring
ADF1	Antisense of Depressing Factor
ADH1	alcohol dehydrogenase ADH1 ADC1|Alcohol DeHydrogenase
ADH2	alcohol dehydrogenase ADH2 ADR2|Alcohol DeHydrogenase
ADH3	alcohol dehydrogenase ADH3|Alcohol DeHydrogenase
ADH4	NRC465 alcohol dehydrogenase ADH4 ZRG5|Alcohol DeHydrogenase
ADH5	alcohol dehydrogenase ADH5|Alcohol DeHydrogenase
ADH6	ADHVI|Alcohol DeHydrogenase
ADH7	ADHVII|Alcohol DeHydrogenase
ADI1	acireductone dioxygenase (Ni2+-requiring)|Acireductone DIoxygenase
ADK1	adenylate kinase ADK1 AKY1 AKY2|ADenylate Kinase
ADK2	AKY3 adenylate kinase ADK2 PAK3|ADenylate Kinase
ADO1	adenosine kinase|ADenOsine kinase
ADP1	putative ATP-dependent permease ADP1|ATP-Dependent Permease
ADR1	DNA-binding transcription factor ADR1|Alcohol Dehydrogenase Regulator
ADY2	ATO1|Accumulation of DYads
ADY3	Accumulation of DYads
ADY4	Accumulation of DYads
AEP1	NCA1|ATPase ExPression
AEP2	ATP13|ATPase ExPression
AEP3	ATPase ExPression
AFB1	A-Factor Barrier
AFG1	ATPase Family Gene
AFG2	AAA family ATPase AFG2 DRG1|ATPase Family Gene
AFG3	YTA10 AAA family ATPase AFG3|ATPase Family Gene
AFI1	ArF3-Interacting protein
AFR1	Alpha-Factor Receptor regulator
AFT1	RCS1 DNA-binding transcription factor AFT1|Activator of Ferrous Transport
AFT2	Activator of Fe (iron) Transcription
AGA1	a cell-specific sexual AGglutination
AGA2	a cell-specific sexual AGglutination
AGC1	amino acid transporter AGC1|Aspartate-Glutamate Carrier
AGE1	SAT1|Arf Gap with Effector function(s)
AGE2	SAT2|Arf Gap with Effector function(s)
AGP1	amino acid transporter AGP1 YCC5|high-Affinity Glutamine Permease
AGP2	high-Affinity Glutamine Permease
AGP3	high-Affinity Glutamine Permease
AGX1	alanine--glyoxylate transaminase|Alanine:Glyoxylate aminotrans(X)ferase
AHA1	Activator of Heat shock protein 90 ATPase
AHC1	Ada Histone acetyltransferase complex Component
AHC2	Ada Histone acetyltransferase complex Component
AHP1	cTPxIII thioredoxin peroxidase AHP1|Alkyl HydroPeroxide reductase
AHT1	
AI1	intron-encoded reverse transcriptase aI1
AI2	intron-encoded reverse transcriptase aI2
AI3	I-SceIII intron-encoded DNA endonuclease aI3
AI4	I-SceII intron-encoded DNA endonuclease aI4
AI5_ALPHA	intron-encoded DNA endonuclease aI5 alpha
AI5_BETA	intron-encoded DNA endonuclease aI5 beta
AIF1	CPD1|Apoptosis-Inducing Factor
AIM1	Altered Inheritance of Mitochondria
AIM10	putative proline--tRNA ligase AIM10|Altered Inheritance rate of Mitochondria
AIM11	GEP8|Altered Inheritance rate of Mitochondria
AIM14	YNO1 putative metalloreductase|Altered Inheritance rate of Mitochondria
AIM17	FMP12|Altered Inheritance rate of Mitochondria
AIM18	FMP22|Altered Inheritance rate of Mitochondria
AIM19	LRC2|Altered Inheritance rate of Mitochondria
AIM2	protein AIM2|Altered Inheritance rate of Mitochondria
AIM20	Altered Inheritance rate of Mitochondria
AIM21	Altered Inheritance rate of Mitochondria
AIM22	putative lipoate--protein ligase LIP3 RRG3|Altered Inheritance rate of Mitochondria
AIM23	Altered Inheritance rate of Mitochondria
AIM24	FMP26|Altered Inheritance rate of Mitochondria
AIM25	Altered Inheritance of Mitochondria
AIM26	Altered Inheritance rate of Mitochondria
AIM29	Altered Inheritance rate of Mitochondria
AIM3	Altered Inheritance rate of Mitochondria
AIM32	Altered Inheritance rate of Mitochondria
AIM33	Altered Inheritance rate of Mitochondria
AIM34	Altered Inheritance rate of Mitochondria
AIM36	FMP39|Altered Inheritance rate of Mitochondria
AIM39	Altered Inheritance rate of Mitochondria
AIM4	SOY1|Altered Inheritance rate of Mitochondria
AIM41	Altered Inheritance of Mitochondria
AIM44	GPS1|Altered Inheritance rate of Mitochondria
AIM45	Altered Inheritance rate of Mitochondria
AIM46	FMP34|Altered Inheritance rate of Mitochondria
AIM6	LRC1|Altered Inheritance rate of Mitochondria
AIM7	GMF GMF1|Altered Inheritance rate of Mitochondria
AIM9	FMP29|Altered Inheritance rate of Mitochondria
AIP1	Actin Interacting Protein
AIR1	Arginine methyltransferase-Interacting RING finger protein
AIR2	Arginine methyltransferase-Interacting RING finger protein
AKL1	serine/threonine protein kinase AKL1|Ark family Kinase-Like protein
AKR1	palmitoyltransferase AKR1|AnKyrin Repeat-containing protein
AKR2	putative palmitoyltransferase AKR2|AnKyrin Repeat-containing protein
ALA1	alanine--tRNA ligase CDC64|ALAnyl-tRNA synthetase
ALB1	Arx1 Little Brother
ALD2	aldehyde dehydrogenase (NAD(+)) ALD2|ALdehyde Dehydrogenase
ALD3	aldehyde dehydrogenase (NAD(+)) ALD3|ALdehyde Dehydrogenase
ALD4	ALDH2 aldehyde dehydrogenase (NADP(+)) ALD4 ALD7|ALdehyde Dehydrogenase
ALD5	aldehyde dehydrogenase (NAD(P)(+)) ALD5|ALdehyde Dehydrogenase
ALD6	aldehyde dehydrogenase (NADP(+)) ALD6 ALD1|ALdehyde Dehydrogenase
ALE1	LCA1 SLC4 LPT1 lysophospholipid acyltransferase|Acyltransferase for Lyso-phosphatidylEthanolamine
ALF1	ALpha-tubulin Foldin
ALG1	chitobiosyldiphosphodolichol beta-1,4 mannosyltransferase|Asparagine-Linked Glycosylation
ALG11	alpha-1,2-mannosyltransferase ALG11|Asparagine-Linked Glycosylation
ALG12	dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase ECM39|Asparagine-Linked Glycosylation
ALG13	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase catalytic subunit ALG13|Asparagine-Linked Glycosylation
ALG14	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase anchoring subunit ALG14|Asparagine Linked Glycosylation
ALG2	GDP-Man:Man(1)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase|Asparagine-Linked Glycosylation
ALG3	dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase RHK1|Asparagine Linked Glycosylation
ALG5	dolichyl-phosphate beta-glucosyltransferase|Asparagine-Linked Glycosylation
ALG6	dolichyl-P-Glc:Man(9)GlcNAc(2)-PP-dolichol alpha-1,3-glucosyltransferase|Asparagine-Linked Glycosylation
ALG7	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase TUR1|Asparagine-Linked Glycosylation
ALG8	dolichyl-P-Glc:Glc1Man(9)GlcNAc(2)-PP-dolichol alpha-1,3-glucosyltransferase YOR29-18|Asparagine-Linked Glycosylation
ALG9	dolichyl-P-Man:Man(6)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase|Asparagine-Linked Glycosylation
ALK1	protein kinase ALK1
ALK2	protein kinase ALK2
ALO1	D-arabinono-1,4-lactone oxidase|D-Arabinono-1,4-Lactone Oxidase
ALP1	APL1 arginine permease ALP1
ALR1	SWC3 Mg(2+) transporter ALR1|ALuminum Resistance
ALR2	putative Mg(2+) transporter ALR2|ALuminum Resistance
ALT1	alanine transaminase ALT1|ALanine Transaminase
ALT2	alanine transaminase ALT2|ALanine Transaminase
ALY1	ART6|Arrestin-Like Yeast protein
ALY2	ART3|Arrestin-Like Yeast protein
AMA1	SPO70|Activator of Meiotic APC/C
AMD1	AMP deaminase AMD3|AMP Deaminase
AMD2	AMiDase
AME1	ARP100|Associated with Microtubules and Essential
AMF1	AMmonium Facilitator
AMN1	ICS4 CST13|Antagonist of Mitotic exit Network
AMS1	Alpha-MannoSidase
ANB1	eIF-5A eIF5A TIF51B HYP1 translation elongation factor eIF-5A|ANaeroBically induced
ANP1	GEM3 MNN8|ANP and osmotic sensitive
ANR2	Avl Nine Related family 2
ANS1	
ANT1	Adenine Nucleotide Transporter
AOS1	RHC31 E1 ubiquitin-activating protein AOS1|Activation Of Smt3p
APA1	DTP1|AP4A phosphorylase
APA2	AP4A phosphorylase
APC1	anaphase promoting complex subunit 1|Anaphase Promoting Complex subunit
APC11	anaphase promoting complex subunit 11|Anaphase Promoting Complex
APC2	TID2 anaphase promoting complex subunit 2 RSI1|Anaphase Promoting Complex
APC4	anaphase promoting complex subunit 4|Anaphase Promoting Complex
APC5	anaphase promoting complex subunit 5 RMC1|Anaphase Promoting Complex
APC9	anaphase promoting complex subunit 9|Anaphase Promoting Complex
APD1	Actin Patches Distal
APE1	YSC1 API LAP4 metalloaminopeptidase APE1|AminoPeptidase
APE2	YKL158W LAP1|AminoPEptidase
APE3	APY1|AminoPEptidase
APE4	aspartyl aminopeptidase
API2	APIcal
APJ1	Anti-Prion DnaJ
APL1	YAP80|clathrin Adaptor Protein complex Large chain
APL2	clathrin Adaptor Protein complex Large chain
APL3	clathrin Adaptor Protein complex Large chain
APL4	clathrin Adaptor Protein complex Large chain
APL5	YKS4|clathrin Adaptor Protein complex Large chain
APL6	YKS5|clathrin Adaptor Protein complex Large chain
APM1	YAP54|clathrin Adaptor Protein complex Medium chain
APM2	clathrin Adaptor Protein complex Medium chain
APM3	YKS6|clathrin Adaptor Protein complex Medium chain
APM4	AMP1|clathrin Adaptor Protein complex Medium chain
APN1	DNA-(apurinic or apyrimidinic site) lyase APN1|APurinic/apyrimidinic eNdonuclease
APN2	DNA-(apurinic or apyrimidinic site) lyase APN2 ETH1|APurinic/apyrimidinic eNdonuclease
APP1	phosphatidate phosphatase APP1|Actin Patch Protein
APQ12	APical growth revealed by Quantitative morphological analysis
APQ13	
APS1	YAP19|clathrin Associated Protein complex Small subunit
APS2	YAP17|clathrin Associated Protein complex Small subunit
APS3	YKS7|clathrin Associated Protein complex Small subunit
APT1	adenine phosphoribosyltransferase APT1|Adenine PhosphoribosylTransferase
APT2	adenine phosphoribosyltransferase APT2|Adenine PhosphoribosylTransferase
AQR1	Acids Quinidine Resistance
AQY1	AQuaporin of Yeast
AQY2	AQuaporin of Yeast
ARA1	D-arabinose 1-dehydrogenase (NAD(P)(+)) ARA1|D-ARAbinose dehydrogenase
ARA2	D-arabinose 1-dehydrogenase (NAD(P)(+)) ARA2|ARAbinose
ARB1	ATP-binding cassette family ATPase ARB1|ATP-binding cassette protein involved in Ribosome Biogenesis
ARC1	Acyl-RNA-Complex
ARC15	ARp2/3 Complex subunit
ARC18	ARp2/3 Complex subunit
ARC19	ARp2/3 Complex subunit
ARC35	END9|ARp2/3 Complex subunit
ARC40	ARp2/3 Complex subunit
ARD1	NAA10 peptide alpha-N-acetyltransferase complex A subunit ARD1|ARrest Defective
